CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME
2,7.09,7.09,3,7.23,7.23,1,6.99,6.99,4,7.38,7.38
2,8.99,16.08,3,9.00,16.23,1,8.99,15.98,4,9.03,16.41
2,8.50,24.58,3,8.46,24.69,1,8.50,24.48,4,8.61,25.02
3,8.74,33.32,2,8.56,33.25,1,8.60,33.08,4,8.73,33.75
3,8.97,42.274,2,8.77,41.995,1,8.87,41.932,4,8.97,42.694
