Yulia SHISHKINA POSITION,Yulia SHISHKINA LAP TIME,Yulia SHISHKINA ELAPSED TIME,Evelien van KERCKVOORDE POSITION,Evelien van KERCKVOORDE LAP TIME,Evelien van KERCKVOORDE ELAPSED TIME,SARAULT Courtney Lee POSITION,SARAULT Courtney Lee LAP TIME,SARAULT Courtney Lee ELAPSED TIME,Emma van ZUIJLEN POSITION,Emma van ZUIJLEN LAP TIME,Emma van ZUIJLEN ELAPSED TIME,UZAKOVA Mariia-Mahdalyna POSITION,UZAKOVA Mariia-Mahdalyna LAP TIME,UZAKOVA Mariia-Mahdalyna ELAPSED TIME
1,16.25,16.25,2,16.34,16.34,4,16.48,16.48,5,16.58,16.58,3,16.37,16.37
2,11.95,28.20,3,11.94,28.28,4,11.92,28.40,5,11.88,28.46,1,11.75,28.12
2,11.41,39.61,3,11.43,39.71,5,11.53,39.93,4,11.32,39.78,1,11.41,39.53
1,10.19,49.80,3,10.25,49.96,5,10.14,50.07,4,10.27,50.05,2,10.37,49.90
2,9.90,59.70,4,10.15,1:00.11,1,9.45,59.52,5,10.17,1:00.22,3,10.10,1:00.00
2,9.28,1:08.98,4,9.78,1:09.89,1,9.37,1:08.89,5,9.85,1:10.07,3,9.81,1:09.81
2,9.71,1:18.69,4,10.13,1:20.02,1,9.69,1:18.58,4,9.95,1:20.02,3,10.11,1:19.92
2,9.97,1:28.66,5,10.99,1:31.01,1,9.97,1:28.55,3,9.97,1:29.99,4,10.36,1:30.28
2,10.12,1:38.78,5,11.65,1:42.66,1,10.20,1:38.75,3,10.40,1:40.39,4,10.87,1:41.15
