MAZUR Nicole POSITION,MAZUR Nicole LAP TIME,MAZUR Nicole ELAPSED TIME,KIM Hae Bin POSITION,KIM Hae Bin LAP TIME,KIM Hae Bin ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME
3,12.08,12.08,2,11.95,11.95,1,11.79,11.79,6,12.43,12.43,4,12.19,12.19,5,12.22,12.22
4,18.52,30.60,5,18.93,30.88,3,18.80,30.59,2,18.03,30.46,1,18.07,30.26,6,18.82,31.04
5,16.79,47.39,1,15.98,46.86,3,16.44,47.03,4,16.77,47.23,2,16.71,46.97,6,16.52,47.56
6,13.46,1:00.85,1,13.49,1:00.35,2,13.33,1:00.36,5,13.53,1:00.76,4,13.65,1:00.62,3,12.93,1:00.49
6,12.34,1:13.19,1,12.46,1:12.81,2,12.46,1:12.82,5,12.32,1:13.08,3,12.33,1:12.95,4,12.53,1:13.02
6,10.58,1:23.77,2,10.62,1:23.43,5,10.86,1:23.68,4,10.52,1:23.60,1,10.39,1:23.34,3,10.51,1:23.53
6,10.65,1:34.42,3,10.58,1:34.01,1,10.25,1:33.93,5,10.69,1:34.29,1,10.59,1:33.93,4,10.65,1:34.18
5,10.08,1:44.50,3,10.25,1:44.26,1,10.19,1:44.12,6,10.25,1:44.54,2,10.23,1:44.16,4,10.17,1:44.35
6,10.10,1:54.60,3,9.98,1:54.24,2,9.98,1:54.10,5,10.05,1:54.59,4,10.27,1:54.43,1,9.66,1:54.01
6,10.13,2:04.73,3,9.76,2:04.00,2,9.64,2:03.74,5,9.67,2:04.26,4,9.69,2:04.12,1,9.56,2:03.57
6,10.38,2:15.11,3,9.74,2:13.74,2,9.85,2:13.59,5,9.70,2:13.96,4,9.68,2:13.80,1,9.91,2:13.48
4,11.24,2:26.35,2,10.20,2:23.94,5,34.63,2:48.22,3,10.09,2:24.05,6,35.12,2:48.92,1,10.01,2:23.49
4,12.42,2:38.77,2,10.30,2:34.24,6,20.91,3:09.13,3,10.49,2:34.54,5,19.73,3:08.65,1,10.06,2:33.55
4,13.16,2:51.93,2,10.67,2:44.91,6,16.29,3:25.42,3,11.02,2:45.56,5,16.04,3:24.69,1,10.40,2:43.95
