Simon CHO POSITION,Simon CHO LAP TIME,Simon CHO ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME
3,13.33,13.33,2,13.30,13.30,1,13.23,13.23,4,13.48,13.48
4,10.47,23.80,2,10.28,23.58,3,10.46,23.69,1,10.01,23.49
4,9.77,33.57,3,9.86,33.44,2,9.62,33.31,1,9.62,33.11
4,9.09,42.66,3,9.10,42.54,2,9.16,42.47,1,9.26,42.37
4,9.23,51.89,3,9.20,51.74,2,9.22,51.69,1,9.31,51.68
1,9.23,1:01.12,3,10.63,1:02.37,2,9.70,1:01.39,4,25.49,1:17.17
1,9.51,1:10.63,3,9.11,1:11.48,2,9.58,1:10.97,4,14.36,1:31.53
1,9.66,1:20.29,3,9.30,1:20.78,2,9.73,1:20.70,4,12.26,1:43.79
1,9.50,1:29.790,2,9.49,1:30.268,3,9.67,1:30.366,4,11.97,1:55.758
