LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Ondrej SUCHY POSITION,Ondrej SUCHY LAP TIME,Ondrej SUCHY ELAPSED TIME,Bazarsad BATSUURI POSITION,Bazarsad BATSUURI LAP TIME,Bazarsad BATSUURI ELAPSED TIME
4,14.61,14.61,1,14.24,14.24,3,14.50,14.50,2,14.35,14.35,5,14.77,14.77
4,10.97,25.58,2,11.08,25.32,1,10.69,25.19,3,11.08,25.43,5,10.94,25.71
4,10.56,36.14,3,10.71,36.03,2,10.72,35.91,1,10.17,35.60,5,10.77,36.48
4,9.84,45.98,3,9.83,45.86,2,9.81,45.72,1,9.98,45.58,5,10.27,46.75
4,9.78,55.76,3,9.64,55.50,1,9.63,55.35,2,9.88,55.46,5,10.48,57.23
2,9.26,1:05.02,4,9.73,1:05.23,1,9.67,1:05.02,3,9.67,1:05.13,5,10.82,1:08.05
1,9.09,1:14.11,4,9.39,1:14.62,2,9.46,1:14.48,3,9.49,1:14.62,5,11.42,1:19.47
1,9.16,1:23.27,3,9.40,1:24.02,2,9.43,1:23.91,4,9.64,1:24.26,5,11.64,1:31.11
1,9.54,1:32.802,2,9.21,1:33.228,3,9.35,1:33.259,4,9.87,1:34.129,5,11.65,1:42.758
