KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,MASCITTO Cynthia POSITION,MASCITTO Cynthia LAP TIME,MASCITTO Cynthia ELAPSED TIME,RUSNAKOVA Petra POSITION,RUSNAKOVA Petra LAP TIME,RUSNAKOVA Petra ELAPSED TIME,SZILICZEI-NEMET Rebeka POSITION,SZILICZEI-NEMET Rebeka LAP TIME,SZILICZEI-NEMET Rebeka ELAPSED TIME,ZHANG Yuting POSITION,ZHANG Yuting LAP TIME,ZHANG Yuting ELAPSED TIME,TOPOLSKA Gabriela POSITION,TOPOLSKA Gabriela LAP TIME,TOPOLSKA Gabriela ELAPSED TIME
1,13.67,13.67,2,13.76,13.76,3,13.93,13.93,6,14.19,,5,14.02,14.02,4,14.01,14.01
1,10.53,24.20,2,10.52,24.28,5,10.50,24.43,6,10.41,,4,10.39,24.41,3,10.29,24.30
1,9.73,33.93,3,9.74,34.02,5,9.84,34.27,6,9.77,,4,9.75,34.16,2,9.71,34.01
1,9.42,43.35,2,9.40,43.42,4,9.36,43.63,5,9.39,,3,9.39,43.55,6,9.85,43.86
1,9.54,52.89,2,9.54,52.96,4,9.53,53.16,5,9.51,,3,9.52,53.07,6,9.66,53.52
1,9.50,1:02.39,2,9.50,1:02.46,4,9.53,1:02.69,5,9.47,,3,9.50,1:02.57,6,9.97,1:03.49
2,9.51,1:11.90,1,9.40,1:11.86,4,9.49,1:12.18,5,9.52,,3,9.47,1:12.04,6,10.33,1:13.82
2,9.64,1:21.54,1,9.57,1:21.43,4,9.50,1:21.68,5,9.51,,3,9.54,1:21.58,6,10.71,1:24.53
3,9.85,1:31.396,2,9.88,1:31.31,5,28.46,1:50.146,5,23.05,,1,9.67,1:31.25,4,10.96,1:35.496
