SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME
2,7.00,7.00,1,6.91,6.91,3,7.12,7.12,4,7.24,7.24
1,8.96,15.96,2,9.16,16.07,3,9.10,16.22,4,9.09,16.33
1,8.55,24.51,2,8.60,24.67,3,8.52,24.74,4,8.52,24.85
1,8.63,33.14,2,8.69,33.36,3,8.67,33.41,4,8.67,33.52
1,8.74,41.875,4,9.21,42.568,2,9.02,42.426,3,9.02,42.538
