LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,GONG Qiuwen POSITION,GONG Qiuwen LAP TIME,GONG Qiuwen ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Yu MIURA POSITION,Yu MIURA LAP TIME,Yu MIURA ELAPSED TIME
2,6.98,6.98,1,6.78,6.78,4,7.25,7.25,3,7.12,7.12
4,9.37,16.35,1,9.06,15.84,3,9.02,16.27,2,9.07,16.19
4,8.91,25.26,1,8.74,24.58,2,8.55,24.82,3,8.64,24.83
4,8.66,33.92,1,8.66,33.24,2,8.46,33.28,3,8.65,33.48
4,8.99,42.906,2,9.01,42.246,1,8.56,41.839,3,8.93,42.410
