ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,HONG Kyung Hwan POSITION,HONG Kyung Hwan LAP TIME,HONG Kyung Hwan ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,LI Wenlong POSITION,LI Wenlong LAP TIME,LI Wenlong ELAPSED TIME,EMONS Friso POSITION,EMONS Friso LAP TIME,EMONS Friso ELAPSED TIME
4,12.94,12.94,2,12.82,12.82,1,12.58,12.58,3,12.92,12.92,5,13.01,13.01
5,9.59,22.53,1,9.21,22.03,2,9.62,22.20,3,9.38,22.30,4,9.40,22.41
5,9.14,31.67,1,9.29,31.32,3,9.31,31.51,2,9.12,31.42,4,9.14,31.55
4,9.18,40.85,1,9.17,40.49,3,9.22,40.73,2,9.19,40.61,5,9.33,40.88
4,9.05,49.90,1,9.07,49.56,3,9.03,49.76,2,9.05,49.66,5,9.10,49.98
4,8.81,58.71,1,8.84,58.40,2,8.75,58.51,3,8.86,58.52,5,8.82,58.80
4,8.73,1:07.44,1,8.70,1:07.10,2,8.71,1:07.22,3,8.80,1:07.32,5,8.72,1:07.52
4,8.73,1:16.17,1,8.79,1:15.89,2,8.77,1:15.99,3,8.78,1:16.10,5,8.76,1:16.28
4,9.02,1:25.19,1,9.08,1:24.97,2,9.06,1:25.05,3,9.04,1:25.14,5,9.02,1:25.30
