Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Christoph MILZ POSITION,Christoph MILZ LAP TIME,Christoph MILZ ELAPSED TIME,Matteo COMPAGNONI POSITION,Matteo COMPAGNONI LAP TIME,Matteo COMPAGNONI ELAPSED TIME,Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME
1,9.11,9.11,2,9.28,9.28,3,9.42,9.42,5,9.76,9.76,4,9.56,9.56,6,9.92,9.92
1,13.54,22.65,2,13.51,22.79,3,13.47,22.89,5,13.40,23.16,4,13.57,23.13,6,13.52,23.44
2,11.93,34.58,3,11.94,34.73,4,11.98,34.87,1,11.25,34.41,5,11.89,35.02,6,11.73,35.17
3,10.85,45.43,2,10.68,45.41,4,10.72,45.59,1,10.96,45.37,5,10.68,45.70,6,10.64,45.81
3,10.56,55.99,1,10.36,55.77,4,10.49,56.08,2,10.51,55.88,5,10.48,56.18,6,10.47,56.28
3,10.46,1:06.45,1,10.53,1:06.30,5,10.48,1:06.56,2,10.48,1:06.36,4,10.32,1:06.50,6,10.44,1:06.72
2,9.58,1:16.03,1,9.64,1:15.94,4,9.64,1:16.20,3,9.69,1:16.05,5,9.79,1:16.29,6,9.71,1:16.43
2,9.45,1:25.48,1,9.44,1:25.38,3,9.44,1:25.64,6,21.32,1:37.37,4,9.51,1:25.80,5,9.49,1:25.92
2,9.45,1:34.93,1,9.48,1:34.86,3,9.46,1:35.10,6,12.10,1:49.47,4,9.42,1:35.22,5,9.42,1:35.34
2,9.32,1:44.25,1,9.33,1:44.19,3,9.32,1:44.42,6,11.19,2:00.66,4,9.49,1:44.71,5,9.46,1:44.80
2,9.14,1:53.39,1,9.12,1:53.31,3,9.26,1:53.68,6,11.18,2:11.84,5,10.15,1:54.86,4,9.68,1:54.48
2,9.16,2:02.55,1,9.16,2:02.47,3,9.31,2:02.99,6,11.52,2:23.36,5,10.67,2:05.53,4,9.70,2:04.18
2,9.30,2:11.85,1,9.26,2:11.73,3,9.37,2:12.36,6,12.32,2:35.68,5,11.14,2:16.67,4,9.79,2:13.97
2,9.59,2:21.438,1,9.56,2:21.288,3,9.59,2:21.947,6,12.54,2:48.217,5,11.47,2:28.139,4,10.06,2:24.024
