NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME
1,12.66,12.66,3,12.85,12.85,4,12.86,12.86,2,12.76,12.76
2,9.72,22.38,4,9.73,22.58,3,9.64,22.50,1,9.48,22.24
1,9.35,31.73,3,9.34,31.92,4,9.46,31.96,2,9.62,31.86
1,9.28,41.01,2,9.17,41.09,4,9.29,41.25,3,9.24,41.10
1,9.08,50.09,3,9.09,50.18,4,9.12,50.37,2,9.07,50.17
1,9.03,59.12,2,9.06,59.24,4,9.02,59.39,3,9.08,59.25
1,9.02,1:08.14,2,9.09,1:08.33,4,9.21,1:08.60,3,9.22,1:08.47
1,9.18,1:17.32,2,9.07,1:17.40,4,8.93,1:17.53,3,9.04,1:17.51
1,9.14,1:26.451,4,9.39,1:26.790,2,8.92,1:26.451,3,9.17,1:26.679
