CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME
1,13.55,13.55,2,13.66,13.66,4,13.94,13.94,3,13.74,13.74
1,10.92,24.47,2,10.86,24.52,4,10.82,24.76,3,10.90,24.64
3,10.08,34.55,1,9.98,34.50,4,9.85,34.61,2,9.89,34.53
1,9.11,43.66,4,9.42,43.92,3,9.27,43.88,2,9.26,43.79
2,9.35,53.01,4,9.28,53.20,3,9.22,53.10,1,9.10,52.89
2,8.99,1:02.00,4,9.04,1:02.24,3,9.03,1:02.13,1,9.01,1:01.90
2,8.78,1:10.78,4,8.79,1:11.03,3,8.80,1:10.93,1,8.75,1:10.65
2,8.56,1:19.34,4,8.73,1:19.76,3,8.78,1:19.71,1,8.58,1:19.23
2,8.58,1:27.915,3,9.04,1:28.799,4,9.18,1:28.888,1,8.56,1:27.785
