Jens ALMEY POSITION,Jens ALMEY LAP TIME,Jens ALMEY ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,GOEMINNE Gert-Jan POSITION,GOEMINNE Gert-Jan LAP TIME,GOEMINNE Gert-Jan ELAPSED TIME,Ryan McANUFF POSITION,Ryan McANUFF LAP TIME,Ryan McANUFF ELAPSED TIME
1,7.09,7.09,4,7.35,,2,7.17,7.17,3,7.30,7.30
1,9.27,16.36,4,9.33,,3,9.40,16.57,2,9.17,16.47
1,8.78,25.14,2,8.52,,4,8.79,25.36,3,8.77,25.24
1,8.96,34.10,2,8.91,,4,9.04,34.40,3,9.06,34.30
3,31.64,1:05.665,3,9.91,,2,9.18,43.575,1,9.12,43.406
