LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME,Nihad BASIC POSITION,Nihad BASIC LAP TIME,Nihad BASIC ELAPSED TIME
3,13.05,,1,12.84,12.84,4,13.15,,2,12.93,12.93,6,13.27,13.27,5,13.25,13.25
3,9.62,,1,9.61,22.45,4,9.70,,2,9.58,22.51,6,9.70,22.97,4,9.60,22.85
3,9.41,,1,9.41,31.86,5,9.43,,2,9.45,31.96,6,9.44,32.41,4,9.41,32.26
3,9.16,,2,9.28,41.14,3,8.96,,1,9.08,41.04,5,9.14,41.55,6,9.82,42.08
4,9.31,,2,9.23,50.37,3,9.22,,1,9.22,50.26,5,9.12,50.67,6,10.84,52.92
3,9.15,,2,9.12,59.49,5,10.39,,1,9.22,59.48,4,9.17,59.84,6,11.98,1:04.90
3,8.93,,1,8.92,1:08.41,5,10.66,,2,9.03,1:08.51,4,8.95,1:08.79,6,13.73,1:18.63
3,8.94,,1,8.90,1:17.31,5,11.00,,2,8.90,1:17.41,4,8.89,1:17.68,6,13.33,1:31.96
3,8.98,,1,8.93,1:26.24,5,11.90,,2,8.91,1:26.32,4,9.11,1:26.79,4,13.76,1:45.721
