Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Yasuko SAKASHITA POSITION,Yasuko SAKASHITA LAP TIME,Yasuko SAKASHITA ELAPSED TIME,FU Tian Yu POSITION,FU Tian Yu LAP TIME,FU Tian Yu ELAPSED TIME,Anne MALTAIS POSITION,Anne MALTAIS LAP TIME,Anne MALTAIS ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME
5,10.41,1:34.59,2,10.29,1:34.16,4,10.52,1:34.50,3,10.47,1:34.47,1,10.41,1:34.15
5,10.19,1:44.78,2,10.38,1:44.54,3,10.17,1:44.67,4,10.21,1:44.68,1,10.30,1:44.45
4,9.89,1:54.68,3,10.10,1:54.65,5,10.19,1:54.87,1,9.91,1:54.59,2,10.15,1:54.60
2,9.77,2:04.45,4,9.96,2:04.62,5,10.04,2:04.92,3,9.97,2:04.57,1,9.68,2:04.29
2,9.92,2:14.38,4,10.42,2:15.04,5,10.17,2:15.09,3,9.96,2:14.54,1,10.00,2:14.30
2,10.41,2:24.790,4,11.73,2:26.768,5,12.17,2:27.258,3,10.37,2:24.902,1,10.39,2:24.689
