Jonathan SO POSITION,Jonathan SO LAP TIME,Jonathan SO ELAPSED TIME,Nurlibek BEISEEV POSITION,Nurlibek BEISEEV LAP TIME,Nurlibek BEISEEV ELAPSED TIME,EMONS Friso POSITION,EMONS Friso LAP TIME,EMONS Friso ELAPSED TIME,Mateusz KRZEMINSKI POSITION,Mateusz KRZEMINSKI LAP TIME,Mateusz KRZEMINSKI ELAPSED TIME,LIN Chun-Chieh POSITION,LIN Chun-Chieh LAP TIME,LIN Chun-Chieh ELAPSED TIME
4,10.71,10.71,1,10.33,10.33,5,10.83,10.83,2,10.45,10.45,3,10.54,10.54
4,16.52,27.23,1,16.34,26.67,5,16.51,27.34,2,16.38,26.83,3,16.43,26.97
4,15.14,42.37,1,15.15,41.82,5,15.07,42.41,2,15.13,41.96,3,15.20,42.17
3,12.10,54.47,3,12.65,54.47,1,11.84,54.25,2,12.40,54.36,5,12.39,54.56
3,10.02,1:04.49,4,10.03,1:04.50,1,9.99,1:04.24,2,10.03,1:04.39,5,10.03,1:04.59
5,10.29,1:14.78,3,9.98,1:14.48,1,10.04,1:14.28,2,9.95,1:14.34,4,10.00,1:14.59
5,10.15,1:24.93,3,10.14,1:24.62,1,10.09,1:24.37,2,10.14,1:24.48,4,10.16,1:24.75
5,9.96,1:34.89,3,10.00,1:34.62,1,10.00,1:34.37,2,9.99,1:34.47,4,9.99,1:34.74
4,9.59,1:44.48,3,9.76,1:44.38,1,9.74,1:44.11,2,9.77,1:44.24,5,9.89,1:44.63
4,9.56,1:54.04,3,9.43,1:53.81,1,9.49,1:53.60,2,9.48,1:53.72,5,9.73,1:54.36
4,9.41,2:03.45,2,9.46,2:03.27,1,9.32,2:02.92,3,9.56,2:03.28,5,10.00,2:04.36
3,9.51,2:12.96,2,9.56,2:12.83,1,9.45,2:12.37,4,10.04,2:13.32,5,10.30,2:14.66
3,9.73,2:22.69,2,9.64,2:22.47,1,9.82,2:22.19,4,10.72,2:24.04,5,10.55,2:25.21
3,10.37,2:33.06,2,9.90,2:32.37,1,10.00,2:32.19,4,11.32,2:35.36,5,10.83,2:36.04
