Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME
2,7.28,7.28,1,7.03,7.03,3,7.44,7.44,4,7.46,7.46
3,9.60,16.88,1,9.25,16.28,4,9.52,16.96,2,9.01,16.47
4,9.25,26.13,1,8.57,24.85,3,8.66,25.62,2,8.48,24.95
4,10.07,36.20,2,8.99,33.84,3,9.05,34.67,1,8.74,33.69
4,10.84,47.036,2,9.23,43.064,3,9.42,44.081,1,8.98,42.664
