PIVIROTTO Ryan POSITION,PIVIROTTO Ryan LAP TIME,PIVIROTTO Ryan ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME
2,13.00,13.00,1,12.97,12.97,4,13.21,13.21,3,13.11,13.11,5,13.32,13.32
5,10.17,23.17,3,9.92,22.89,1,9.60,22.81,4,9.89,23.00,2,9.52,22.84
5,9.27,32.44,3,9.31,32.20,2,9.29,32.10,4,9.28,32.28,1,9.20,32.04
5,9.37,41.81,4,9.56,41.76,3,9.59,41.69,2,9.34,41.62,1,9.49,41.53
4,9.22,51.03,3,9.23,50.99,1,9.17,50.86,5,9.51,51.13,1,9.33,50.86
4,8.96,59.99,2,8.82,59.81,1,8.76,59.62,5,9.01,1:00.14,3,9.06,59.92
4,8.85,1:08.84,2,8.81,1:08.62,1,8.96,1:08.58,5,8.82,1:08.96,3,8.82,1:08.74
4,8.92,1:17.76,1,8.91,1:17.53,3,9.16,1:17.74,5,8.89,1:17.85,2,8.86,1:17.60
4,,1:27.026,1,8.98,1:26.51,3,9.23,1:26.979,5,,1:27.042,2,9.07,1:26.67
