FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,MA Wei POSITION,MA Wei LAP TIME,MA Wei ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME
3,7.18,,2,6.98,6.98,1,6.78,6.78,5,7.54,7.54,4,7.37,7.37
3,8.84,,2,8.68,15.66,1,8.79,15.57,5,9.36,16.90,4,8.94,16.31
3,8.41,,2,8.43,24.09,1,8.44,24.01,5,8.98,25.88,4,8.61,24.92
3,8.43,,2,8.69,32.78,1,8.66,32.67,5,9.19,35.07,4,9.01,33.93
5,29.35,,4,18.11,50.89,1,8.90,41.57,3,9.62,44.69,2,9.36,43.29
