DJORDJEVIC Jovan POSITION,DJORDJEVIC Jovan LAP TIME,DJORDJEVIC Jovan ELAPSED TIME,SEJPAL Zdenek POSITION,SEJPAL Zdenek LAP TIME,SEJPAL Zdenek ELAPSED TIME,Triphop THONGNGAM POSITION,Triphop THONGNGAM LAP TIME,Triphop THONGNGAM ELAPSED TIME,LAI Yi-Siang POSITION,LAI Yi-Siang LAP TIME,LAI Yi-Siang ELAPSED TIME
1,7.28,7.28,2,7.38,7.38,3,7.51,7.51,4,9.62,9.62
3,9.77,17.05,1,9.57,16.95,2,9.52,17.03,4,10.70,20.32
3,9.70,26.75,1,9.49,26.44,2,9.52,26.55,4,9.26,29.58
3,9.63,36.38,1,9.65,36.09,2,9.68,36.23,4,9.34,38.92
2,9.81,46.174,1,9.99,46.075,3,10.10,46.308,4,9.87,48.780
