Urban KALSEK POSITION,Urban KALSEK LAP TIME,Urban KALSEK ELAPSED TIME,Dariusz KULESZA POSITION,Dariusz KULESZA LAP TIME,Dariusz KULESZA ELAPSED TIME,Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME,SOKOLOV Mikhail POSITION,SOKOLOV Mikhail LAP TIME,SOKOLOV Mikhail ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Guillaume BLAIS DUFOUR POSITION,Guillaume BLAIS DUFOUR LAP TIME,Guillaume BLAIS DUFOUR ELAPSED TIME
0,9.267,9.267,0,9.108,9.108,0,8.867,8.867,0,8.999,8.999,0,8.795,8.795,0,8.718,8.718
0,11.715,20.981,0,11.896,21.004,0,11.915,20.782,0,11.778,20.777,0,11.799,20.594,0,12.100,20.817
0,11.424,32.405,0,11.077,32.081,0,11.097,31.880,0,10.763,31.540,0,,,0,11.084,31.902
0,11.090,43.495,0,11.357,43.438,0,11.358,43.238,0,11.442,42.982,0,,43.105,0,10.997,42.899
0,11.623,55.118,0,11.613,55.051,0,11.512,54.749,0,11.524,54.506,0,11.549,54.654,0,11.896,54.794
0,11.131,1:06.249,0,11.326,1:06.377,0,11.463,1:06.212,0,11.607,1:06.113,0,11.597,1:06.251,0,11.473,1:06.267
0,11.126,1:17.375,0,10.421,1:16.798,0,10.820,1:17.032,0,11.041,1:17.154,0,10.508,1:16.758,0,10.316,1:16.583
0,9.699,1:27.074,0,9.976,1:26.773,0,9.784,1:26.816,0,11.250,1:28.403,0,9.859,1:26.617,0,10.140,1:26.723
0,9.614,1:36.689,0,10.032,1:36.806,0,10.150,1:36.966,0,11.086,1:39.489,0,9.832,1:36.449,0,9.771,1:36.493
0,9.450,1:46.139,0,9.945,1:46.750,0,9.873,1:46.839,0,10.944,1:50.433,0,9.656,1:46.106,0,9.594,1:46.087
0,10.440,1:56.578,0,10.003,1:56.753,0,10.052,1:56.891,0,11.313,2:01.746,0,10.201,1:56.307,0,10.035,1:56.122
0,10.842,2:07.420,0,10.510,2:07.263,0,10.523,2:07.414,0,11.757,2:13.503,0,10.322,2:06.629,0,10.849,2:06.972
0,10.058,2:17.478,0,11.627,2:18.890,0,10.012,2:17.426,0,12.347,2:25.850,0,10.092,2:16.721,0,9.902,2:16.874
0,,,0,,,0,,,0,,,0,,,0,,
