Miodrag POPOVIC POSITION,Miodrag POPOVIC LAP TIME,Miodrag POPOVIC ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Inan EREN POSITION,Inan EREN LAP TIME,Inan EREN ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME
1,13.35,13.35,4,13.71,13.71,2,13.46,13.46,5,13.77,13.77,3,13.56,13.56
1,10.37,23.72,4,10.37,24.08,2,10.39,23.85,5,10.37,24.14,3,10.39,23.95
2,10.24,33.96,3,9.89,33.97,1,10.08,33.93,5,10.10,34.24,4,10.14,34.09
5,10.12,44.08,2,9.36,43.33,1,9.36,43.29,4,9.44,43.68,3,9.38,43.47
5,10.03,54.11,2,9.27,52.60,1,9.17,52.46,4,9.30,52.98,3,9.24,52.71
5,10.21,1:04.32,2,9.24,1:01.84,1,9.25,1:01.71,4,9.39,1:02.37,3,9.25,1:01.96
5,10.46,1:14.78,2,8.97,1:10.81,1,8.98,1:10.69,4,9.64,1:12.01,3,8.96,1:10.92
5,10.73,1:25.51,2,8.73,1:19.54,1,8.75,1:19.44,4,10.21,1:22.22,3,8.84,1:19.76
5,11.06,1:36.569,2,8.83,1:28.366,1,8.82,1:28.260,4,10.44,1:32.660,3,9.13,1:28.886
