Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME
1,7.09,7.09,3,7.54,7.54,4,7.71,7.71,2,7.22,7.22
1,9.38,16.47,3,9.50,17.04,4,9.40,17.11,2,9.38,16.60
2,9.11,25.58,4,9.03,26.07,3,8.86,25.97,1,8.86,25.46
2,9.01,34.59,4,9.19,35.26,3,8.94,34.91,1,8.98,34.44
2,9.14,43.73,4,9.43,44.699,3,8.97,43.88,1,9.16,43.60
