SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME
1,8.47,8.47,2,8.63,,4,8.87,8.87,7,9.18,9.18,5,8.88,8.88,3,8.77,8.77,6,9.10,9.10
1,11.31,19.78,2,11.27,,4,11.25,20.12,7,11.22,20.40,5,11.32,20.20,3,11.26,20.03,6,11.17,20.27
1,11.19,30.97,2,11.19,,3,11.04,31.16,7,11.14,31.54,5,11.09,31.29,4,11.14,31.17,6,11.10,31.37
3,10.86,41.83,1,10.55,,2,10.62,41.78,6,10.53,42.07,7,10.82,42.11,4,10.76,41.93,5,10.61,41.98
3,10.27,52.10,2,10.36,,4,10.42,52.20,1,9.81,51.88,7,10.41,52.52,4,10.27,52.20,6,10.38,52.36
4,9.82,1:01.92,2,9.76,,5,9.85,1:02.05,3,9.92,1:01.80,7,9.75,1:02.27,1,9.49,1:01.69,6,9.79,1:02.15
4,10.16,1:12.08,2,10.14,,5,10.09,1:12.14,2,10.10,1:11.90,7,10.13,1:12.40,1,10.10,1:11.79,6,10.05,1:12.20
4,9.62,1:21.70,1,9.52,,5,9.66,1:21.80,3,9.72,1:21.62,7,9.71,1:22.11,2,9.73,1:21.52,6,9.71,1:21.91
3,9.46,1:31.16,1,9.54,,4,9.44,1:31.24,5,9.68,1:31.30,7,9.59,1:31.70,2,9.54,1:31.06,6,9.47,1:31.38
3,9.44,1:40.60,1,9.47,,4,9.40,1:40.64,6,9.62,1:40.92,7,9.68,1:41.38,2,9.48,1:40.54,5,9.39,1:40.77
5,9.45,1:50.05,1,9.19,,3,9.15,1:49.79,6,9.38,1:50.30,7,10.14,1:51.52,2,9.17,1:49.71,4,9.04,1:49.81
5,9.43,1:59.48,2,8.98,,4,8.99,1:58.78,6,9.54,1:59.84,7,10.40,2:01.92,3,8.98,1:58.69,1,8.76,1:58.57
5,9.80,2:09.28,2,9.02,,3,8.86,2:07.64,6,9.99,2:09.83,7,10.73,2:12.65,4,9.14,2:07.83,1,8.69,2:07.26
5,10.78,2:20.06,4,9.62,,2,9.45,2:17.09,6,10.31,2:20.14,7,11.03,2:23.68,3,9.37,2:17.20,1,8.94,2:16.20
