KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME,SHA Kexin POSITION,SHA Kexin LAP TIME,SHA Kexin ELAPSED TIME,VANHOOREN Rino POSITION,VANHOOREN Rino LAP TIME,VANHOOREN Rino ELAPSED TIME,Fabrice DUFBERG SUH POSITION,Fabrice DUFBERG SUH LAP TIME,Fabrice DUFBERG SUH ELAPSED TIME,Jack BURROWS POSITION,Jack BURROWS LAP TIME,Jack BURROWS ELAPSED TIME,Liam O'BRIEN POSITION,Liam O'BRIEN LAP TIME,Liam O'BRIEN ELAPSED TIME
4,10.25,10.25,2,9.96,9.96,6,10.60,10.60,1,9.78,9.78,3,10.10,,5,10.42,10.42
4,13.78,24.03,2,13.85,23.81,6,13.68,24.28,1,13.89,23.67,3,13.84,,5,13.76,24.18
4,13.51,37.54,2,13.44,37.25,6,13.57,37.85,1,13.42,37.09,3,13.46,,5,13.51,37.69
4,12.60,50.14,2,12.69,49.94,5,12.41,50.26,1,12.74,49.83,3,12.64,,6,12.66,50.35
4,11.83,1:01.97,1,11.87,1:01.81,5,11.86,1:02.12,2,12.04,1:01.87,2,11.83,,6,11.89,1:02.24
4,10.89,1:12.86,3,10.93,1:12.74,5,10.85,1:12.97,2,10.78,1:12.65,1,10.76,,6,10.83,1:13.07
4,10.14,1:23.00,3,10.17,1:22.91,5,10.17,1:23.14,1,10.13,1:22.78,2,10.24,,6,10.17,1:23.24
2,9.27,1:32.27,1,9.34,1:32.25,5,9.36,1:32.50,4,9.57,1:32.35,3,9.47,,6,9.37,1:32.61
1,8.87,1:41.14,2,9.12,1:41.37,5,9.29,1:41.79,4,9.30,1:41.65,3,9.18,,6,9.28,1:41.89
1,9.12,1:50.26,2,8.98,1:50.35,5,9.02,1:50.81,4,8.91,1:50.56,3,8.96,,6,9.04,1:50.93
1,9.24,1:59.50,4,18.56,2:08.91,2,9.06,1:59.87,5,20.33,2:10.89,6,26.32,,3,9.10,2:00.03
1,9.48,2:08.98,4,32.71,2:41.62,2,9.20,2:09.07,5,31.28,2:42.17,6,27.50,,3,9.26,2:09.29
1,9.57,2:18.55,4,15.71,2:57.33,2,9.56,2:18.63,6,15.97,2:58.14,5,13.34,,3,9.52,2:18.81
1,9.83,2:28.38,4,11.35,3:08.68,2,9.92,2:28.55,6,13.28,3:11.42,5,12.07,,3,9.77,2:28.560
