Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Viktor DIMITROV POSITION,Viktor DIMITROV LAP TIME,Viktor DIMITROV ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME
2,12.81,12.81,1,12.70,12.70,4,13.10,13.10,3,12.87,12.87
2,10.28,23.09,1,10.08,22.78,4,10.24,23.35,3,10.22,23.09
3,9.92,33.02,1,9.91,32.70,4,9.78,33.13,2,9.79,32.88
3,9.98,43.00,1,9.98,42.69,4,10.08,43.22,2,10.07,42.95
3,9.88,52.88,1,10.00,52.69,4,9.81,53.03,2,9.91,52.87
1,9.25,1:02.14,2,9.53,1:02.22,4,9.74,1:02.77,3,9.51,1:02.38
2,9.35,1:11.49,1,9.24,1:11.47,4,9.71,1:12.49,3,9.18,1:11.57
1,9.24,1:20.74,3,9.48,1:20.95,4,10.21,1:22.71,2,9.31,1:20.88
1,9.53,1:30.263,3,10.62,1:31.566,4,10.89,1:33.594,2,9.54,1:30.417
