Ganbat JARGALANCHULUUN POSITION,Ganbat JARGALANCHULUUN LAP TIME,Ganbat JARGALANCHULUUN ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,OH Se-Jong POSITION,OH Se-Jong LAP TIME,OH Se-Jong ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME
4,12.775,12.775,1,12.079,12.079,2,12.643,12.643,3,12.728,12.728
4,10.411,23.185,1,9.651,21.730,3,10.030,22.673,2,9.839,22.566
4,10.260,33.445,1,9.727,31.456,3,10.072,32.745,2,9.967,32.533
4,10.315,43.760,1,9.723,41.179,2,9.926,42.671,3,10.259,42.791
4,10.680,54.440,1,9.821,50.999,2,9.700,52.371,3,9.728,52.519
4,10.922,1:05.361,1,9.685,1:00.683,2,9.691,1:02.061,3,9.700,1:02.218
4,11.204,1:16.565,1,10.042,1:10.725,2,9.484,1:11.544,3,9.375,1:11.593
4,11.786,1:28.350,1,10.110,1:20.835,2,9.374,1:20.917,3,9.344,1:20.936
4,12.74,1:41.087,3,10.19,1:31.023,1,9.83,1:30.747,2,9.99,1:30.923
