LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME,Andriy KOZHUKH POSITION,Andriy KOZHUKH LAP TIME,Andriy KOZHUKH ELAPSED TIME
4,14.830,14.830,1,14.581,14.581,2,14.613,14.613,3,14.820,14.820
3,11.142,25.972,1,11.062,25.643,2,11.223,25.836,4,11.167,25.987
3,10.931,36.903,1,11.033,36.675,4,11.074,36.910,2,10.839,36.826
4,10.742,47.646,1,10.619,47.295,3,10.686,47.595,2,10.752,47.578
3,9.532,57.177,1,9.520,56.814,2,9.419,57.014,4,9.613,57.191
3,9.189,1:06.366,1,9.459,1:06.273,2,9.310,1:06.324,4,9.246,1:06.437
2,9.098,1:15.465,1,9.018,1:15.292,3,9.177,1:15.501,4,9.741,1:16.178
1,9.014,1:24.479,2,9.208,1:24.500,3,9.002,1:24.503,4,10.199,1:26.377
1,8.803,1:33.281,3,9.098,1:33.598,2,8.981,1:33.484,4,11.090,1:37.467
