KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME,RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME,JAPAN POSITION,JAPAN LAP TIME,JAPAN ELAPSED TIME,BELGIUM POSITION,BELGIUM LAP TIME,BELGIUM ELAPSED TIME
3,12.71,12.71,4,12.90,12.90,1,12.38,12.38,2,12.56,12.56
3,8.99,21.70,4,8.98,21.88,1,8.98,21.36,2,8.94,21.50
3,8.83,30.53,4,8.81,30.69,1,8.85,30.21,2,8.81,30.31
2,8.79,39.32,4,8.81,39.50,1,8.90,39.11,3,9.05,39.36
1,8.89,48.21,3,9.05,48.55,4,12.51,51.62,2,8.95,48.31
1,8.87,57.08,3,8.83,57.38,4,9.55,1:01.17,2,8.90,57.21
1,8.84,1:05.92,3,8.92,1:06.30,4,8.73,1:09.90,2,9.00,1:06.21
1,8.94,1:14.86,3,9.11,1:15.41,4,8.78,1:18.68,2,8.97,1:15.18
1,9.11,1:23.97,3,8.85,1:24.26,4,8.83,1:27.51,2,8.87,1:24.05
1,9.03,1:33.00,2,8.88,1:33.14,4,8.78,1:36.29,3,9.12,1:33.17
1,8.90,1:41.90,2,8.92,1:42.06,4,8.73,1:45.02,3,9.04,1:42.21
1,8.91,1:50.81,2,8.91,1:50.97,4,8.76,1:53.78,3,8.90,1:51.11
1,8.80,1:59.61,2,8.81,1:59.78,4,8.74,2:02.52,3,9.04,2:00.15
1,8.87,2:08.48,2,8.77,2:08.55,4,8.85,2:11.37,3,8.92,2:09.07
1,9.11,2:17.59,2,9.21,2:17.76,4,8.86,2:20.23,3,8.78,2:17.85
1,8.94,2:26.53,2,8.89,2:26.65,4,8.75,2:28.98,3,9.18,2:27.03
1,8.66,2:35.19,2,8.81,2:35.46,4,8.62,2:37.60,3,8.86,2:35.89
1,8.72,2:43.91,2,8.76,2:44.22,4,8.68,2:46.28,3,8.72,2:44.61
1,8.81,2:52.72,2,8.64,2:52.86,4,8.73,2:55.01,3,9.20,2:53.81
1,8.78,3:01.50,2,8.83,3:01.69,4,8.85,3:03.86,3,9.07,3:02.88
1,9.04,3:10.54,2,8.98,3:10.67,4,8.87,3:12.73,3,8.79,3:11.67
1,8.84,3:19.38,2,8.83,3:19.50,4,8.83,3:21.56,3,9.07,3:20.74
1,8.70,3:28.08,2,8.79,3:28.29,4,8.66,3:30.22,3,8.91,3:29.65
1,8.75,3:36.83,2,8.83,3:37.12,4,8.77,3:38.99,3,9.02,3:38.67
1,8.72,3:45.55,2,8.68,3:45.80,4,9.11,3:48.10,3,9.33,3:48.00
1,8.84,3:54.39,2,8.75,3:54.55,3,9.06,3:57.16,4,9.40,3:57.40
1,9.00,4:03.39,2,8.97,4:03.52,3,9.12,4:06.28,4,8.94,4:06.34
1,8.84,4:12.23,2,8.82,4:12.34,3,9.05,4:15.33,4,9.13,4:15.47
1,8.85,4:21.08,2,8.86,4:21.20,3,8.77,4:24.10,4,9.10,4:24.57
1,8.98,4:30.06,2,8.96,4:30.16,3,8.89,4:32.99,4,8.98,4:33.55
1,8.89,4:38.95,2,8.91,4:39.07,3,8.86,4:41.85,4,9.30,4:42.85
1,8.83,4:47.78,2,8.88,4:47.95,3,8.99,4:50.84,4,9.19,4:52.04
1,9.07,4:56.85,2,9.03,4:56.98,3,9.19,5:00.03,4,9.06,5:01.10
1,8.99,5:05.84,2,8.97,5:05.95,3,9.11,5:09.14,4,9.38,5:10.48
1,8.89,5:14.73,2,9.01,5:14.96,3,8.95,5:18.09,4,9.26,5:19.74
1,8.88,5:23.61,2,9.00,5:23.96,3,9.17,5:27.26,4,9.07,5:28.81
1,9.00,5:32.61,2,8.98,5:32.94,3,9.05,5:36.31,4,9.42,5:38.23
1,9.01,5:41.62,2,9.05,5:41.99,3,9.12,5:45.43,4,9.23,5:47.46
1,8.87,5:50.49,2,8.67,5:50.66,3,9.20,5:54.63,4,9.03,5:56.49
1,8.90,5:59.39,2,8.90,5:59.56,3,9.08,6:03.71,4,9.60,6:06.09
1,8.77,6:08.16,2,9.05,6:08.61,3,9.10,6:12.81,4,9.40,6:15.49
1,8.89,6:17.05,2,9.06,6:17.67,3,9.28,6:22.09,4,9.21,6:24.70
1,8.98,6:26.03,2,9.05,6:26.72,3,9.17,6:31.26,4,9.53,6:34.23
1,8.84,6:34.87,2,8.63,6:35.35,3,9.20,6:40.46,4,9.39,6:43.62
1,8.76,6:43.63,2,8.31,6:43.66,3,9.54,6:50.006,4,9.68,6:53.297
