Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,KIM Yong-Sung POSITION,KIM Yong-Sung LAP TIME,KIM Yong-Sung ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME
1,13.09,13.09,2,13.20,13.20,3,13.39,13.39,4,13.53,13.53
2,10.25,23.34,1,9.99,23.20,3,10.10,23.49,4,10.16,23.69
2,9.68,33.02,1,9.69,32.90,3,9.67,33.16,4,9.68,33.37
1,9.19,42.22,2,9.43,42.33,3,9.35,42.51,4,9.14,42.52
1,9.30,51.52,2,9.22,51.55,3,9.17,51.68,4,9.38,51.90
1,9.34,1:00.86,2,9.35,1:00.90,3,9.28,1:00.97,4,9.34,1:01.25
1,9.25,1:10.12,2,9.35,1:10.25,3,9.34,1:10.31,4,9.09,1:10.35
2,9.34,1:19.46,1,9.21,1:19.46,3,9.19,1:19.51,4,9.28,1:19.64
2,10.39,1:29.841,3,23.97,1:43.428,0,,DQ,1,9.33,1:28.962
