SIGHEL Arianna POSITION,SIGHEL Arianna LAP TIME,SIGHEL Arianna ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Lexi BURKHOLDER POSITION,Lexi BURKHOLDER LAP TIME,Lexi BURKHOLDER ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,HIRAI Ami POSITION,HIRAI Ami LAP TIME,HIRAI Ami ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME
2,8.46,8.46,4,8.90,8.90,1,8.15,8.15,5,9.06,9.06,3,8.66,8.66,6,9.21,9.21
2,10.32,18.78,4,10.32,19.22,1,10.49,18.64,5,10.33,19.39,3,10.23,18.89,6,10.40,19.61
2,10.23,29.01,4,10.01,29.23,1,10.27,28.91,5,9.99,29.38,3,10.21,29.10,6,9.98,29.59
2,10.18,39.19,4,10.18,39.41,1,10.20,39.11,5,10.14,39.52,3,10.20,39.30,6,10.04,39.63
2,10.40,49.59,4,10.41,49.82,1,10.39,49.50,5,10.40,49.92,3,10.41,49.71,6,10.38,50.01
2,10.65,1:00.24,4,10.61,1:00.43,1,10.65,1:00.15,5,10.61,1:00.53,3,10.64,1:00.35,6,10.60,1:00.61
4,10.81,1:11.05,3,10.53,1:10.96,2,10.66,1:10.81,5,10.66,1:11.19,1,10.37,1:10.72,6,10.68,1:11.29
4,11.09,1:22.14,3,11.06,1:22.02,2,11.10,1:21.91,6,11.03,1:22.22,1,11.08,1:21.80,5,10.86,1:22.15
5,11.09,1:33.23,3,11.00,1:33.02,2,10.96,1:32.87,6,11.18,1:33.40,1,10.93,1:32.73,4,10.96,1:33.11
5,10.72,1:43.95,3,10.71,1:43.73,2,10.70,1:43.57,6,10.67,1:44.07,1,10.80,1:43.53,4,10.74,1:43.85
3,10.34,1:54.29,4,10.58,1:54.31,6,10.84,1:54.41,5,10.27,1:54.34,1,10.35,1:53.88,2,10.19,1:54.04
4,9.94,2:04.23,5,10.25,2:04.56,6,10.65,2:05.06,1,9.58,2:03.92,2,10.05,2:03.93,3,10.07,2:04.11
4,9.89,2:14.12,5,10.35,2:14.91,6,10.91,2:15.97,1,9.69,2:13.61,2,10.02,2:13.95,3,9.93,2:14.04
4,10.03,2:24.148,5,10.56,2:25.469,6,11.16,2:27.127,1,9.91,2:23.520,2,10.13,2:24.075,3,10.09,2:24.126
