LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,FURUYA Kengo POSITION,FURUYA Kengo LAP TIME,FURUYA Kengo ELAPSED TIME,Matthew WILSON POSITION,Matthew WILSON LAP TIME,Matthew WILSON ELAPSED TIME
4,14.683,14.683,1,14.277,14.277,3,14.556,14.556,2,14.533,14.533
4,9.750,24.432,2,10.021,24.297,1,9.539,24.095,3,9.885,24.417
3,9.264,33.696,1,8.896,33.192,2,9.573,33.667,4,9.380,33.797
3,9.691,43.387,1,9.780,42.972,2,9.686,43.352,4,9.726,43.523
1,9.414,52.800,2,9.874,52.846,3,9.682,53.034,4,9.726,53.248
2,9.552,1:02.352,1,9.430,1:02.275,3,9.485,1:02.518,4,10.029,1:03.276
1,9.503,1:11.854,2,9.580,1:11.855,3,9.607,1:12.124,4,10.669,1:13.945
2,9.603,1:21.457,1,9.572,1:21.426,3,9.632,1:21.756,4,11.455,1:25.400
1,9.33,1:30.782,2,9.44,1:30.857,3,9.24,1:30.995,4,12.43,1:37.825
