ANTONIOLI Mattia POSITION,ANTONIOLI Mattia LAP TIME,ANTONIOLI Mattia ELAPSED TIME,Kiichi SHIGEHIRO POSITION,Kiichi SHIGEHIRO LAP TIME,Kiichi SHIGEHIRO ELAPSED TIME,ADAMSKI Pawel POSITION,ADAMSKI Pawel LAP TIME,ADAMSKI Pawel ELAPSED TIME,KIM Dagyeom POSITION,KIM Dagyeom LAP TIME,KIM Dagyeom ELAPSED TIME,AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME
1,11.92,11.92,3,12.15,12.15,5,12.44,12.44,2,12.03,12.03,4,12.25,12.25
1,8.93,20.85,3,8.94,21.09,5,8.85,21.29,2,8.96,20.99,4,8.92,21.17
2,8.82,29.67,3,8.71,29.80,5,8.78,30.07,1,8.59,29.58,4,8.71,29.88
2,8.83,38.50,4,8.87,38.67,5,8.77,38.84,1,8.80,38.38,3,8.70,38.58
2,8.83,47.33,4,8.87,47.54,5,9.03,47.87,1,8.82,47.20,3,8.84,47.42
3,8.94,56.27,4,8.81,56.35,5,9.30,57.17,1,8.82,56.02,2,8.68,56.10
3,8.93,1:05.20,4,9.00,1:05.35,5,9.65,1:06.82,2,9.04,1:05.06,1,8.79,1:04.89
3,8.98,1:14.18,3,8.83,1:14.18,5,9.97,1:16.79,2,8.98,1:14.04,1,8.72,1:13.61
4,9.42,1:23.60,0,8.99,1:23.17,5,10.38,1:27.17,0,9.13,1:23.17,1,8.99,1:22.60
