Katia ZINI POSITION,Katia ZINI LAP TIME,Katia ZINI ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Nita AVRITH POSITION,Nita AVRITH LAP TIME,Nita AVRITH ELAPSED TIME,Ivanie BLONDIN POSITION,Ivanie BLONDIN LAP TIME,Ivanie BLONDIN ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME
0,9.151,9.151,0,8.542,8.542,0,8.475,8.475,0,8.792,8.792,0,8.894,8.894,0,9.280,9.280
0,10.726,19.877,0,10.828,19.370,0,10.888,19.363,0,10.795,19.588,0,10.698,19.592,0,10.696,19.976
0,10.222,30.099,0,10.497,29.867,0,10.472,29.835,0,10.360,29.948,0,10.356,29.948,0,10.327,30.303
0,10.426,40.524,0,10.268,40.135,0,10.223,40.058,0,10.344,40.292,0,10.217,40.165,0,10.199,40.502
0,10.187,50.711,0,10.352,50.487,0,10.361,50.418,0,10.307,50.598,0,10.329,50.494,0,10.350,50.852
0,10.351,1:01.063,0,10.210,1:00.697,0,10.307,1:00.726,0,10.265,1:00.863,0,10.398,1:00.892,0,10.179,1:01.031
0,10.331,1:11.394,0,10.364,1:11.061,0,10.276,1:11.002,0,10.328,1:11.191,0,10.341,1:11.233,0,10.337,1:11.368
0,10.192,1:21.585,0,10.230,1:21.291,0,10.188,1:21.190,0,10.121,1:21.312,0,10.189,1:21.422,0,10.287,1:21.655
0,10.267,1:31.852,0,10.253,1:31.544,0,10.332,1:31.522,0,10.362,1:31.674,0,10.359,1:31.781,0,10.514,1:32.169
0,10.082,1:41.934,0,10.109,1:41.653,0,10.180,1:41.701,0,10.103,1:41.777,0,9.915,1:41.696,0,9.665,1:41.834
0,9.944,1:51.878,0,10.590,1:52.244,0,10.009,1:51.711,0,9.981,1:51.758,0,10.347,1:52.042,0,9.875,1:51.709
0,9.953,2:01.831,0,11.897,2:04.140,0,10.142,2:01.852,0,10.114,2:01.872,0,10.190,2:02.233,0,10.182,2:01.891
0,10.210,2:12.041,0,12.830,2:16.970,0,10.440,2:12.292,0,10.257,2:12.129,0,10.702,2:12.935,0,10.407,2:12.297
0,10.216,2:22.257,0,14.424,2:31.393,0,10.711,2:23.003,0,10.852,2:22.980,0,10.896,2:23.830,0,10.495,2:22.792
