Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Dmitry MIGUNOV POSITION,Dmitry MIGUNOV LAP TIME,Dmitry MIGUNOV ELAPSED TIME,Fedor ANDREYEV POSITION,Fedor ANDREYEV LAP TIME,Fedor ANDREYEV ELAPSED TIME,Oleksandr ZHELTONOG POSITION,Oleksandr ZHELTONOG LAP TIME,Oleksandr ZHELTONOG ELAPSED TIME
2,7.26,7.26,1,7.05,7.05,3,7.46,7.46,4,7.52,7.52,5,7.74,7.74
2,9.20,16.46,1,9.37,16.42,5,23.08,30.54,3,9.52,17.04,4,9.85,17.59
1,8.87,25.33,2,8.95,25.37,5,18.47,49.01,3,9.31,26.35,4,9.40,26.99
1,8.87,34.20,2,9.24,34.61,5,14.83,1:03.84,3,9.56,35.91,4,14.89,41.88
1,9.54,43.736,2,9.31,43.920,5,14.93,1:18.768,3,9.83,45.739,4,12.81,54.687
