PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,TAO Jiaying POSITION,TAO Jiaying LAP TIME,TAO Jiaying ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME
5,13.96,13.96,4,13.93,13.93,2,13.72,,6,14.18,14.18,3,13.84,13.84,1,13.67,13.67
5,10.49,24.45,1,9.95,23.88,3,10.46,,6,10.31,24.49,4,10.41,24.25,2,10.41,24.08
4,10.44,34.89,3,10.31,34.19,6,19.98,,1,9.57,34.06,5,11.03,35.28,2,10.04,34.12
4,10.60,45.49,3,9.81,44.00,6,14.83,,1,9.85,43.91,5,10.94,46.22,2,9.80,43.92
5,10.27,55.76,3,9.91,53.91,6,12.04,,2,9.87,53.78,4,9.50,55.72,1,9.61,53.53
5,10.14,1:05.90,3,9.79,1:03.70,6,12.88,,2,9.78,1:03.56,4,9.39,1:05.11,1,9.89,1:03.42
5,10.32,1:16.22,3,9.78,1:13.48,6,11.98,,2,9.80,1:13.36,4,9.45,1:14.56,1,9.77,1:13.19
5,10.69,1:26.91,2,9.63,1:23.11,6,11.73,,3,9.81,1:23.17,4,9.63,1:24.19,1,9.57,1:22.76
5,11.54,1:38.414,2,9.66,1:32.748,6,16.23,,3,10.59,1:33.739,4,9.92,1:34.091,1,9.62,1:32.362
