Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME,Hannes KROEGER POSITION,Hannes KROEGER LAP TIME,Hannes KROEGER ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME
3,13.00,13.00,4,13.15,13.15,2,12.98,12.98,1,12.92,12.92,5,13.34,13.34
1,9.89,22.89,4,10.02,23.17,2,10.01,22.99,3,10.19,23.11,5,9.94,23.28
3,9.88,32.77,4,9.62,32.79,2,9.73,32.72,1,9.52,32.63,5,9.71,32.99
4,9.62,42.39,3,9.50,42.29,1,9.37,42.09,2,9.57,42.20,5,9.53,42.52
4,9.34,51.73,3,9.41,51.70,1,9.43,51.52,2,9.43,51.63,5,9.47,51.99
1,8.94,1:00.67,4,9.36,1:01.06,2,9.26,1:00.78,3,9.27,1:00.90,5,9.28,1:01.27
1,9.03,1:09.70,4,9.35,1:10.41,2,9.29,1:10.07,3,9.26,1:10.16,5,9.33,1:10.60
1,9.33,1:19.03,4,9.63,1:20.04,2,9.69,1:19.76,3,9.70,1:19.86,5,9.54,1:20.14
1,9.65,1:28.676,0,,PEN,2,9.89,1:29.650,4,10.20,1:30.057,3,9.79,1:29.921
