Ashley Sook Hui CHIN POSITION,Ashley Sook Hui CHIN LAP TIME,Ashley Sook Hui CHIN ELAPSED TIME,Franchesca BELL POSITION,Franchesca BELL LAP TIME,Franchesca BELL ELAPSED TIME,BOTTER GOMEZ Nicole POSITION,BOTTER GOMEZ Nicole LAP TIME,BOTTER GOMEZ Nicole ELAPSED TIME,ZANG Yize POSITION,ZANG Yize LAP TIME,ZANG Yize ELAPSED TIME,WATANABE Aoi POSITION,WATANABE Aoi LAP TIME,WATANABE Aoi ELAPSED TIME,BLAIS Danae POSITION,BLAIS Danae LAP TIME,BLAIS Danae ELAPSED TIME,Anita NAGAY POSITION,Anita NAGAY LAP TIME,Anita NAGAY ELAPSED TIME
7,9.66,,4,9.01,9.01,2,8.67,8.67,6,9.64,9.64,1,8.42,8.42,3,8.85,8.85,5,9.26,9.26
7,11.20,,4,10.85,19.86,2,10.96,19.63,6,10.51,20.15,1,11.07,19.49,3,10.89,19.74,5,10.72,19.98
7,10.76,,4,10.71,30.57,2,10.69,30.32,5,10.63,30.78,1,10.71,30.20,3,10.69,30.43,6,10.92,30.90
7,10.80,,4,10.56,41.13,2,10.53,40.85,5,10.48,41.26,1,10.51,40.71,3,10.58,41.01,6,10.46,41.36
7,11.19,,4,10.43,51.56,2,10.49,51.34,5,10.43,51.69,1,10.45,51.16,3,10.44,51.45,6,10.43,51.79
7,11.82,,4,10.35,1:01.91,2,10.33,1:01.67,5,10.35,1:02.04,1,10.39,1:01.55,3,10.33,1:01.78,6,10.43,1:02.22
7,12.25,,4,10.48,1:12.39,2,10.48,1:12.15,5,10.45,1:12.49,1,10.49,1:12.04,3,10.48,1:12.26,6,10.39,1:12.61
7,12.65,,4,10.45,1:22.84,2,10.41,1:22.56,5,10.46,1:22.95,1,10.43,1:22.47,3,10.44,1:22.70,6,10.45,1:23.06
7,13.18,,4,10.46,1:33.30,2,10.52,1:33.08,5,10.38,1:33.33,1,10.49,1:32.96,3,10.46,1:33.16,6,10.44,1:33.50
7,12.56,,5,10.64,1:43.94,3,10.40,1:43.48,2,10.06,1:43.39,1,10.23,1:43.19,4,10.38,1:43.54,6,10.45,1:43.95
7,12.32,,6,10.92,1:54.86,4,10.49,1:53.97,2,9.99,1:53.38,1,10.06,1:53.25,3,10.39,1:53.93,5,10.73,1:54.68
7,12.54,,6,11.13,2:05.99,4,10.90,2:04.87,2,10.20,2:03.58,1,10.30,2:03.55,3,10.38,2:04.31,5,11.15,2:05.83
7,12.91,,6,11.62,2:17.61,4,11.68,2:16.55,1,10.11,2:13.69,2,10.47,2:14.02,3,10.84,2:15.15,5,11.69,2:17.52
7,13.03,2:46.87,6,12.09,2:29.70,4,12.46,2:29.01,1,10.42,2:24.11,2,10.55,2:24.57,3,11.55,2:26.70,5,11.79,2:29.31
