CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,PARK Ji Won POSITION,PARK Ji Won LAP TIME,PARK Ji Won ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME,AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME
2,7.20,7.20,3,7.36,,1,7.00,7.00,4,7.57,7.57,5,7.58,7.58
2,9.09,16.29,3,9.19,,1,8.89,15.89,5,9.67,17.24,4,9.28,16.86
2,8.53,24.82,3,8.52,,1,8.59,24.48,5,9.35,26.59,4,8.75,25.61
2,8.67,33.49,3,8.63,,1,8.77,33.25,5,9.59,36.18,4,8.80,34.41
3,8.97,42.46,2,8.72,,1,9.14,42.39,5,10.06,46.24,4,9.16,43.57
