Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,Robin van STEEN POSITION,Robin van STEEN LAP TIME,Robin van STEEN ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Patrick DUFFY POSITION,Patrick DUFFY LAP TIME,Patrick DUFFY ELAPSED TIME
1,13.20,13.20,4,13.54,13.54,5,13.59,13.59,2,13.38,13.38,3,13.45,13.45
2,10.20,23.40,4,10.05,23.59,5,10.14,23.73,1,9.94,23.32,3,9.99,23.44
1,9.48,32.88,4,9.66,33.25,5,9.64,33.37,2,9.69,33.01,3,9.65,33.09
1,9.68,42.56,4,9.63,42.88,5,9.58,42.95,2,9.66,42.67,3,9.65,42.74
1,9.57,52.13,5,9.73,52.61,4,9.51,52.46,2,9.51,52.18,3,9.53,52.27
3,9.31,1:01.44,5,9.74,1:02.35,4,9.18,1:01.64,2,9.15,1:01.33,1,8.97,1:01.24
3,9.33,1:10.77,5,10.54,1:12.89,4,9.20,1:10.84,2,9.33,1:10.66,1,9.32,1:10.56
3,9.51,1:20.28,5,11.30,1:24.19,4,9.54,1:20.38,2,9.50,1:20.16,1,9.47,1:20.03
4,9.71,1:29.988,5,12.02,1:36.209,3,9.51,1:29.890,2,9.64,1:29.797,1,9.66,1:29.687
