Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,Ingmar van RIEL POSITION,Ingmar van RIEL LAP TIME,Ingmar van RIEL ELAPSED TIME
2,13.60,13.60,1,13.59,13.59,3,13.70,13.70,4,14.10,14.10
2,10.79,24.40,1,10.79,24.38,3,10.87,24.57,4,10.50,24.60
3,9.78,34.18,1,9.70,34.09,4,9.79,34.37,2,9.54,34.14
3,9.94,44.13,1,9.85,43.94,4,9.85,44.22,2,9.91,44.06
2,9.66,53.79,1,9.81,53.76,4,9.89,54.11,3,9.73,53.79
1,9.23,1:03.03,2,9.53,1:03.29,4,9.36,1:03.48,3,9.58,1:03.38
1,9.16,1:12.19,2,9.14,1:12.43,3,9.20,1:12.68,4,9.36,1:12.75
1,9.26,1:21.46,2,9.24,1:21.68,3,9.11,1:21.80,4,11.79,1:24.54
1,9.66,1:31.121,2,9.53,1:31.203,3,9.77,1:31.570,4,13.94,1:38.474
