LEE So Youn POSITION,LEE So Youn LAP TIME,LEE So Youn ELAPSED TIME,Caroline TRUCHON POSITION,Caroline TRUCHON LAP TIME,Caroline TRUCHON ELAPSED TIME,Marie YOSHIDA POSITION,Marie YOSHIDA LAP TIME,Marie YOSHIDA ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME
3,7.59,7.59,2,7.40,7.40,4,7.69,7.69,1,7.27,7.27
3,9.63,17.22,1,9.66,17.06,4,9.64,17.33,2,9.80,17.07
1,9.19,26.41,3,9.69,26.75,2,9.17,26.50,4,10.04,27.11
1,9.39,35.80,3,9.18,35.93,2,9.38,35.88,4,9.86,36.97
1,9.59,45.382,3,9.55,45.476,2,9.57,45.448,0,,PEN
