KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME,HUNGARY POSITION,HUNGARY LAP TIME,HUNGARY ELAPSED TIME,FRANCE POSITION,FRANCE LAP TIME,FRANCE ELAPSED TIME,CANADA POSITION,CANADA LAP TIME,CANADA ELAPSED TIME
1,12.21,12.21,2,12.27,12.27,3,12.32,12.32,4,12.52,12.52
1,9.47,21.68,3,9.56,21.83,2,9.46,21.78,4,9.47,21.99
1,9.37,31.05,3,9.33,31.16,2,9.33,31.11,4,9.27,31.26
1,9.18,40.23,2,9.14,40.30,3,9.28,40.39,4,9.24,40.50
1,9.12,49.35,2,9.19,49.49,3,9.19,49.58,4,9.20,49.70
1,9.10,58.45,2,9.09,58.58,3,9.07,58.65,4,9.06,58.76
1,9.31,1:07.76,2,9.27,1:07.85,4,9.52,1:08.17,3,9.22,1:07.98
1,9.29,1:17.05,2,9.23,1:17.08,4,9.11,1:17.28,3,9.24,1:17.22
1,9.30,1:26.35,2,9.28,1:26.36,4,9.23,1:26.51,3,9.22,1:26.44
1,9.12,1:35.47,2,9.19,1:35.55,4,9.30,1:35.81,3,9.24,1:35.68
1,9.17,1:44.64,2,9.24,1:44.79,4,9.13,1:44.94,3,9.18,1:44.86
1,9.00,1:53.64,2,8.92,1:53.71,4,8.99,1:53.93,3,8.96,1:53.82
1,9.21,2:02.85,4,9.36,2:03.07,3,9.05,2:02.98,2,9.11,2:02.93
1,9.23,2:12.08,4,9.28,2:12.35,3,9.28,2:12.26,2,9.21,2:12.14
1,9.04,2:21.12,4,9.03,2:21.38,3,9.03,2:21.29,2,9.07,2:21.21
1,9.11,2:30.23,4,9.15,2:30.53,3,9.08,2:30.37,2,9.11,2:30.32
1,9.08,2:39.31,4,9.13,2:39.66,3,9.15,2:39.52,2,9.06,2:39.38
1,8.86,2:48.17,4,8.76,2:48.42,3,8.79,2:48.31,2,8.89,2:48.27
1,8.57,2:56.74,4,9.15,2:57.57,3,9.08,2:57.39,2,8.88,2:57.15
2,9.65,3:06.39,4,9.06,3:06.63,1,7.95,3:05.34,3,9.45,3:06.60
1,8.99,3:15.38,4,9.02,3:15.65,2,10.11,3:15.45,3,8.96,3:15.56
1,8.75,3:24.13,4,9.00,3:24.65,2,8.93,3:24.38,3,8.91,3:24.47
1,8.79,3:32.92,4,8.85,3:33.50,2,8.62,3:33.00,3,8.69,3:33.16
1,8.64,3:41.56,4,8.68,3:42.18,2,8.63,3:41.63,3,8.65,3:41.81
1,8.58,3:50.14,3,8.53,3:50.71,2,9.01,3:50.64,4,8.91,3:50.72
3,9.57,3:59.71,4,9.32,4:00.03,1,8.84,3:59.48,2,8.88,3:59.60
3,8.95,4:08.66,4,8.78,4:08.81,1,8.97,4:08.45,2,8.91,4:08.51
4,8.93,4:17.59,3,8.74,4:17.55,2,8.99,4:17.44,1,8.52,4:17.03
3,9.11,4:26.70,2,9.09,4:26.64,4,9.36,4:26.80,1,9.36,4:26.39
2,8.86,4:35.56,3,8.98,4:35.62,4,9.01,4:35.81,1,8.88,4:35.27
2,8.97,4:44.53,3,9.02,4:44.64,4,8.96,4:44.77,1,9.00,4:44.27
4,9.33,4:53.86,2,8.86,4:53.50,3,8.83,4:53.60,1,8.90,4:53.17
4,8.71,5:02.57,2,8.76,5:02.26,3,8.81,5:02.41,1,8.86,5:02.03
4,8.79,5:11.36,2,8.68,5:10.94,3,8.80,5:11.21,1,8.84,5:10.87
4,8.85,5:20.21,2,9.06,5:20.00,3,8.91,5:20.12,1,8.93,5:19.80
3,8.70,5:28.91,2,8.84,5:28.84,4,8.94,5:29.06,1,8.83,5:28.63
3,9.03,5:37.94,2,8.91,5:37.75,4,8.89,5:37.95,1,8.87,5:37.50
4,9.02,5:46.96,2,8.88,5:46.63,3,8.85,5:46.80,1,8.97,5:46.47
4,8.78,5:55.74,2,8.71,5:55.34,3,8.79,5:55.59,1,8.75,5:55.22
4,8.81,6:04.55,2,8.74,6:04.08,3,8.64,6:04.23,1,8.83,6:04.05
3,8.85,6:13.40,2,9.22,6:13.30,4,9.37,6:13.60,1,9.03,6:13.08
2,8.71,6:22.11,3,8.93,6:22.23,4,9.05,6:22.65,1,8.91,6:21.99
2,8.96,6:31.07,3,8.92,6:31.15,4,8.82,6:31.47,1,8.91,6:30.90
1,8.68,6:39.75,2,8.75,6:39.90,3,8.79,6:40.26,4,12.93,6:43.83
1,8.96,6:48.704,2,8.92,6:48.817,3,8.84,6:49.092,4,10.48,6:54.301
