SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME
1,8.63,8.63,2,8.81,8.81,6,9.33,9.33,4,8.91,8.91,5,9.00,9.00,3,8.84,8.84
2,11.31,19.94,4,11.33,20.14,6,11.24,20.57,3,11.16,20.07,1,10.91,19.91,5,11.44,20.28
3,10.88,30.82,5,10.88,31.02,6,10.67,31.24,2,10.65,30.72,1,10.70,30.61,4,10.70,30.98
1,10.06,40.88,5,10.63,41.65,6,10.46,41.70,2,10.29,41.01,4,10.89,41.50,3,10.41,41.39
1,9.76,50.64,5,9.62,51.27,6,9.96,51.66,4,10.20,51.21,3,9.70,51.20,2,9.66,51.05
1,9.83,1:00.47,5,9.85,1:01.12,6,9.63,1:01.29,4,9.77,1:00.98,3,9.69,1:00.89,2,9.55,1:00.60
1,10.07,1:10.54,5,10.09,1:11.21,6,10.03,1:11.32,4,10.00,1:10.98,3,9.93,1:10.82,2,9.97,1:10.57
1,9.39,1:19.93,5,9.34,1:20.55,6,9.49,1:20.81,4,9.34,1:20.32,2,9.33,1:20.15,3,9.64,1:20.21
1,9.53,1:29.46,5,9.58,1:30.13,6,9.45,1:30.26,3,9.53,1:29.85,2,9.55,1:29.70,4,9.74,1:29.95
1,9.69,1:39.15,5,9.40,1:39.53,6,9.51,1:39.77,4,9.59,1:39.44,2,9.48,1:39.18,3,9.43,1:39.38
1,9.58,1:48.73,5,9.74,1:49.27,6,9.80,1:49.57,4,9.65,1:49.09,2,9.72,1:48.90,3,9.60,1:48.98
2,9.66,1:58.39,5,9.58,1:58.85,6,9.65,1:59.22,3,9.53,1:58.62,1,9.47,1:58.37,4,9.66,1:58.64
1,9.24,2:07.63,4,9.23,2:08.08,5,9.67,2:08.89,3,9.40,2:08.02,2,9.39,2:07.76,6,32.40,2:31.04
1,10.04,2:17.664,4,9.83,2:17.902,5,10.10,2:18.990,3,9.82,2:17.837,2,9.93,2:17.682,6,,2:30.678
