Anne-Sophie DAVREUX POSITION,Anne-Sophie DAVREUX LAP TIME,Anne-Sophie DAVREUX ELAPSED TIME,Ekaterina BARANOK POSITION,Ekaterina BARANOK LAP TIME,Ekaterina BARANOK ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME
1,13.42,13.42,2,13.55,13.55,3,13.73,13.73
1,10.15,23.57,2,10.12,23.67,3,10.05,23.78
1,10.22,33.79,2,10.21,33.88,3,10.22,34.00
1,10.32,44.11,2,10.33,44.21,3,10.34,44.34
2,10.24,54.35,1,10.04,54.25,3,10.14,54.48
2,10.06,1:04.41,1,10.05,1:04.30,3,10.03,1:04.51
2,10.16,1:14.57,1,10.17,1:14.47,3,10.17,1:14.68
3,10.41,1:24.98,2,10.39,1:24.86,1,10.06,1:24.74
3,10.51,1:35.488,2,10.56,1:35.414,1,9.76,1:34.491
