Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,NEMIRO Vladyslav POSITION,NEMIRO Vladyslav LAP TIME,NEMIRO Vladyslav ELAPSED TIME,Bor Luka URLEP POSITION,Bor Luka URLEP LAP TIME,Bor Luka URLEP ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Einar AGDESTEIN POSITION,Einar AGDESTEIN LAP TIME,Einar AGDESTEIN ELAPSED TIME
2,14.00,14.00,5,14.43,14.43,4,14.21,14.21,3,14.10,14.10,1,13.87,13.87
2,10.69,24.69,5,10.62,25.05,4,10.71,24.92,3,10.72,24.82,1,10.72,24.59
4,10.90,35.59,5,10.66,35.71,2,10.62,35.54,3,10.75,35.57,1,10.82,35.41
3,9.78,45.37,4,9.69,45.40,5,10.35,45.89,2,9.76,45.33,1,9.77,45.18
1,9.50,54.87,4,9.73,55.13,5,9.74,55.63,1,9.54,54.87,3,9.81,54.99
3,9.57,1:04.44,4,9.53,1:04.66,5,9.79,1:05.42,1,9.38,1:04.25,2,9.33,1:04.32
2,9.24,1:13.68,4,9.61,1:14.27,5,10.32,1:15.74,1,9.25,1:13.50,3,9.38,1:13.70
2,9.21,1:22.89,4,9.89,1:24.16,5,10.72,1:26.46,1,9.17,1:22.67,3,9.59,1:23.29
2,9.49,1:32.364,4,10.18,1:34.320,5,11.00,1:37.439,1,9.07,1:31.724,3,10.06,1:33.335
