PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,LIN Yue POSITION,LIN Yue LAP TIME,LIN Yue ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME
2,7.45,7.45,1,7.28,7.28,3,7.52,7.52,4,7.67,7.67
2,9.41,16.86,1,9.48,16.76,3,9.48,17.00,4,9.39,17.06
2,9.01,25.87,1,9.10,25.86,3,9.00,26.00,4,9.05,26.11
1,9.16,35.03,2,9.26,35.12,3,9.24,35.24,4,9.26,35.37
1,9.28,44.305,2,9.26,44.376,3,9.27,44.503,4,9.34,44.708
