Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Raya ZAHARIEVA POSITION,Raya ZAHARIEVA LAP TIME,Raya ZAHARIEVA ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,KIKUCHI Moemi POSITION,KIKUCHI Moemi LAP TIME,KIKUCHI Moemi ELAPSED TIME
1,9.34,9.34,3,9.65,9.65,5,9.93,9.93,4,9.82,9.82,2,9.51,9.51
1,13.60,22.94,3,13.50,23.15,5,13.49,23.42,4,13.46,23.28,2,13.57,23.08
1,13.26,36.20,3,13.28,36.43,5,13.30,36.72,4,13.30,36.58,2,13.24,36.32
1,12.81,49.01,3,12.89,49.32,5,12.95,49.67,4,12.96,49.54,2,12.86,49.18
1,12.33,1:01.34,3,12.26,1:01.58,5,12.14,1:01.81,4,12.14,1:01.68,2,12.30,1:01.48
1,12.06,1:13.40,3,12.05,1:13.63,5,12.20,1:14.01,4,12.19,1:13.87,2,12.08,1:13.56
1,11.78,1:25.18,3,11.85,1:25.48,5,11.77,1:25.78,4,11.76,1:25.63,2,11.78,1:25.34
1,11.34,1:36.52,4,11.25,1:36.73,5,10.96,1:36.74,3,11.00,1:36.63,2,11.28,1:36.62
5,10.81,1:47.33,4,10.22,1:46.95,2,9.91,1:46.65,1,9.80,1:46.43,3,10.14,1:46.76
5,9.77,1:57.10,4,9.85,1:56.80,2,9.87,1:56.52,1,10.02,1:56.45,3,9.84,1:56.60
5,9.74,2:06.84,4,10.02,2:06.82,2,10.07,2:06.59,1,10.03,2:06.48,3,10.07,2:06.67
4,9.97,2:16.81,5,10.35,2:17.17,2,10.04,2:16.63,1,10.05,2:16.53,3,10.06,2:16.73
4,9.86,2:26.67,5,10.66,2:27.83,2,9.80,2:26.43,1,9.75,2:26.28,3,9.79,2:26.52
3,9.89,2:36.556,4,11.04,2:38.866,2,9.55,2:35.972,1,9.67,2:35.946,0,,PEN
