Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME
2,14.02,14.02,4,14.13,14.13,5,14.33,,1,13.94,13.94,3,14.12,14.12
3,10.76,24.78,1,10.35,24.48,5,10.70,,2,10.74,24.68,4,10.76,24.88
4,10.22,35.00,1,10.27,34.75,5,10.11,,3,10.21,34.89,1,9.87,34.75
4,9.76,44.76,3,9.87,44.62,5,9.77,,2,9.71,44.60,1,9.79,44.54
4,9.66,54.42,3,9.68,54.30,5,9.64,,1,9.56,54.16,2,9.69,54.23
4,9.81,1:04.23,3,9.83,1:04.13,5,9.81,,2,9.88,1:04.04,1,9.70,1:03.93
4,9.64,1:13.87,3,9.63,1:13.76,5,9.62,,2,9.62,1:13.66,1,9.69,1:13.62
4,9.75,1:23.62,5,9.92,1:23.68,3,9.48,,1,9.57,1:23.23,2,9.76,1:23.38
3,,1:33.300,4,9.74,1:33.401,2,9.64,,1,9.72,1:32.931,2,,1:33.279
