JAPAN POSITION,JAPAN LAP TIME,JAPAN ELAPSED TIME,KAZAKHSTAN POSITION,KAZAKHSTAN LAP TIME,KAZAKHSTAN ELAPSED TIME,BULGARIA POSITION,BULGARIA LAP TIME,BULGARIA ELAPSED TIME
2,13.28,13.28,1,13.00,13.00,3,13.67,13.67
2,9.36,22.64,1,9.50,22.50,3,9.34,23.01
1,9.15,31.79,2,9.43,31.93,3,9.23,32.24
1,9.32,41.11,2,9.27,41.20,3,9.37,41.61
1,9.12,50.23,2,9.22,50.42,3,9.43,51.04
1,8.93,59.16,2,9.14,59.56,3,9.82,1:00.86
1,9.13,1:08.29,2,8.98,1:08.54,3,9.69,1:10.55
1,9.27,1:17.56,2,9.19,1:17.73,3,9.53,1:20.08
1,9.29,1:26.85,2,9.38,1:27.11,3,9.61,1:29.69
1,9.38,1:36.23,2,9.38,1:36.49,3,10.05,1:39.74
1,9.12,1:45.35,2,9.20,1:45.69,3,9.88,1:49.62
2,9.31,1:54.66,1,8.90,1:54.59,3,9.97,1:59.59
2,9.27,2:03.93,1,9.20,2:03.79,3,10.13,2:09.72
2,9.21,2:13.14,1,9.27,2:13.06,3,10.14,2:19.86
2,9.54,2:22.68,1,9.61,2:22.67,3,9.76,2:29.62
1,9.50,2:32.18,2,9.88,2:32.55,3,9.93,2:39.55
1,9.35,2:41.53,2,9.70,2:42.25,3,10.18,2:49.73
1,9.47,2:51.00,2,9.24,2:51.49,3,10.79,3:00.52
1,9.23,3:00.23,2,9.35,3:00.84,3,11.04,3:11.56
1,9.44,3:09.67,2,9.56,3:10.40,3,9.62,3:21.18
1,9.24,3:18.91,2,9.76,3:20.16,3,9.34,3:30.52
1,9.37,3:28.28,2,9.82,3:29.98,3,9.92,3:40.44
1,9.50,3:37.78,2,9.72,3:39.70,3,10.11,3:50.55
1,9.70,3:47.48,2,9.70,3:49.40,3,10.31,4:00.86
1,9.67,3:57.15,2,9.55,3:58.95,3,10.47,4:11.33
1,9.76,4:06.91,2,9.80,4:08.75,3,9.78,4:21.11
1,9.73,4:16.648,2,9.89,4:18.649,3,9.70,4:30.819
