Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME,Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Konrad NAGY POSITION,Konrad NAGY LAP TIME,Konrad NAGY ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME
5,14.01,14.01,4,14.01,14.01,2,13.70,13.70,3,13.84,13.84,1,13.61,13.61
5,10.14,24.15,2,9.84,23.85,3,10.25,23.95,4,10.28,24.12,1,10.23,23.84
4,9.48,33.63,3,9.65,33.50,2,9.47,33.42,5,9.65,33.77,1,9.54,33.38
3,9.67,43.30,4,9.90,43.40,2,9.75,43.17,5,9.80,43.57,1,9.72,43.10
3,9.63,52.93,4,9.64,53.04,2,9.72,52.89,5,9.59,53.16,1,9.71,52.81
2,9.42,1:02.35,4,9.76,1:02.80,3,9.67,1:02.56,5,9.65,1:02.81,1,9.42,1:02.23
2,9.38,1:11.73,5,9.90,1:12.70,3,9.20,1:11.76,4,9.57,1:12.38,1,9.43,1:11.66
2,9.43,1:21.16,5,9.56,1:22.26,3,9.51,1:21.27,4,9.46,1:21.84,1,9.41,1:21.07
2,9.45,1:30.606,5,9.63,1:31.886,3,9.40,1:30.661,4,9.71,1:31.545,1,9.40,1:30.470
