FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,HONG Kyung Hwan POSITION,HONG Kyung Hwan LAP TIME,HONG Kyung Hwan ELAPSED TIME,MILOVANOV Sergei POSITION,MILOVANOV Sergei LAP TIME,MILOVANOV Sergei ELAPSED TIME,Jasper BRUNSMANN POSITION,Jasper BRUNSMANN LAP TIME,Jasper BRUNSMANN ELAPSED TIME
1,6.81,6.81,3,7.01,7.01,2,6.91,6.91,4,7.18,7.18
1,8.90,15.71,2,8.77,15.78,3,8.99,15.90,4,8.82,16.00
2,8.62,24.33,1,8.51,24.29,3,8.57,24.47,4,8.67,24.67
2,8.66,32.99,1,8.54,32.83,3,8.61,33.08,4,8.67,33.34
2,8.77,41.76,1,8.81,41.64,0,,PHOTO,0,,PHOTO
