WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,Yuka KAMINO POSITION,Yuka KAMINO LAP TIME,Yuka KAMINO ELAPSED TIME,Celine LECOMPERE POSITION,Celine LECOMPERE LAP TIME,Celine LECOMPERE ELAPSED TIME,JIN Sun-Yu POSITION,JIN Sun-Yu LAP TIME,JIN Sun-Yu ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,Dariya VOLOKITINA POSITION,Dariya VOLOKITINA LAP TIME,Dariya VOLOKITINA ELAPSED TIME
2,9.930,9.930,4,10.030,10.030,1,9.930,9.930,6,10.530,10.530,3,10.010,10.010,5,10.200,10.200
4,13.800,23.730,3,13.640,23.670,2,13.580,23.510,6,13.730,24.260,1,13.310,23.320,5,13.530,23.730
5,12.790,36.530,4,12.840,36.520,3,12.790,36.300,6,12.750,37.010,2,12.840,36.170,1,12.260,36.000
5,12.600,49.130,4,12.410,48.930,3,12.500,48.810,6,12.590,49.600,2,12.630,48.800,1,12.690,48.700
4,12.190,1:01.330,5,12.500,1:01.440,1,12.200,1:01.010,6,12.050,1:01.660,2,12.360,1:01.170,3,12.490,1:01.190
6,12.760,1:14.090,5,12.650,1:14.090,1,12.510,1:13.520,4,12.420,1:14.080,3,12.620,1:13.800,2,12.470,1:13.670
5,11.000,1:25.090,4,10.860,1:24.950,2,11.020,1:24.550,1,10.460,1:24.550,3,10.790,1:24.590,6,11.420,1:25.090
5,10.260,1:35.360,4,10.270,1:35.220,1,10.360,1:34.920,2,10.380,1:34.930,3,10.420,1:35.010,6,10.850,1:35.950
5,10.310,1:45.670,4,10.350,1:45.580,2,10.470,1:45.390,3,10.570,1:45.500,1,10.350,1:45.360,6,11.000,1:46.950
5,10.580,1:56.260,4,10.150,1:55.730,3,10.100,1:55.500,2,9.960,1:55.460,1,9.940,1:55.310,6,11.760,1:58.720
5,11.050,2:07.310,4,10.090,2:05.830,3,10.130,2:05.630,2,10.080,2:05.550,1,10.150,2:05.470,6,11.950,2:10.670
5,11.610,2:18.920,4,10.080,2:15.910,3,10.090,2:15.730,2,10.050,2:15.600,1,10.040,2:15.510,6,12.270,2:22.950
5,12.050,2:30.980,4,10.140,2:26.060,3,10.150,2:25.880,1,10.100,2:25.700,2,10.200,2:25.710,6,12.290,2:35.250
3,12.590,2:43.570,6,23.510,2:49.570,4,21.450,2:47.330,2,10.510,2:36.220,1,10.400,2:36.120,5,12.610,2:47.860
