SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,Joshua KAH POSITION,Joshua KAH LAP TIME,Joshua KAH ELAPSED TIME,Aaron HEO POSITION,Aaron HEO LAP TIME,Aaron HEO ELAPSED TIME,YU Songnan POSITION,YU Songnan LAP TIME,YU Songnan ELAPSED TIME,ADAMSKI Pawel POSITION,ADAMSKI Pawel LAP TIME,ADAMSKI Pawel ELAPSED TIME,Marc GONZALES POSITION,Marc GONZALES LAP TIME,Marc GONZALES ELAPSED TIME,Augustin GERE POSITION,Augustin GERE LAP TIME,Augustin GERE ELAPSED TIME
1,9.04,9.04,3,9.37,,2,9.23,9.23,5,9.70,9.70,4,9.54,9.54,7,9.98,9.98,6,9.86,9.86
3,13.09,22.13,5,12.97,,4,12.91,22.14,6,12.87,22.57,1,12.45,21.99,7,12.75,22.73,2,12.21,22.07
4,11.00,33.13,5,10.93,,3,10.85,32.99,6,10.92,33.49,2,10.89,32.88,7,10.92,33.65,1,10.73,32.80
5,10.82,43.95,1,10.24,,4,10.83,43.82,6,10.58,44.07,3,10.79,43.67,7,10.61,44.26,2,10.77,43.57
5,9.82,53.77,1,9.84,,4,9.86,53.68,6,9.84,53.91,3,9.87,53.54,7,9.83,54.09,2,9.91,53.48
5,10.15,1:03.92,1,10.24,,3,10.09,1:03.77,6,10.05,1:03.96,2,10.14,1:03.68,7,10.09,1:04.18,4,10.31,1:03.79
6,9.82,1:13.74,4,9.84,,3,9.65,1:13.42,1,9.28,1:13.24,2,9.63,1:13.31,7,9.79,1:13.97,5,9.84,1:13.63
5,9.08,1:22.82,4,9.30,,2,9.16,1:22.58,1,9.23,1:22.47,3,9.36,1:22.67,7,9.51,1:23.48,6,9.25,1:22.88
2,9.18,1:32.00,5,9.39,,3,9.43,1:32.01,1,9.44,1:31.91,6,9.64,1:32.31,7,9.74,1:33.22,4,9.23,1:32.11
1,9.10,1:41.10,6,9.62,,3,9.30,1:41.31,2,9.30,1:41.21,5,9.34,1:41.65,7,9.94,1:43.16,4,9.30,1:41.41
1,9.12,1:50.22,6,9.35,,3,9.13,1:50.44,2,9.15,1:50.36,5,9.29,1:50.94,7,10.35,1:53.51,4,9.11,1:50.52
1,9.00,1:59.22,6,9.52,,3,9.00,1:59.44,2,8.99,1:59.35,5,9.53,2:00.47,7,10.55,2:04.06,4,9.05,1:59.57
1,9.06,2:08.28,6,9.95,,3,9.07,2:08.51,2,9.08,2:08.43,5,10.06,2:10.53,7,10.66,2:14.72,4,9.20,2:08.77
1,9.28,2:17.56,5,9.73,,3,9.34,2:17.85,2,9.31,2:17.74,5,10.55,2:21.088,6,10.88,2:25.604,4,9.51,2:18.285
