Mateusz KRZEMINSKI POSITION,Mateusz KRZEMINSKI LAP TIME,Mateusz KRZEMINSKI ELAPSED TIME,Sean McANUFF POSITION,Sean McANUFF LAP TIME,Sean McANUFF ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME,Augustin GERE POSITION,Augustin GERE LAP TIME,Augustin GERE ELAPSED TIME,Reinis BERZINS POSITION,Reinis BERZINS LAP TIME,Reinis BERZINS ELAPSED TIME
2,14.34,14.34,1,14.22,14.22,4,14.44,14.44,2,14.34,14.34,5,14.57,14.57
2,10.56,24.90,3,10.73,24.95,4,10.62,25.06,1,10.54,24.88,5,10.59,25.16
1,10.38,35.28,5,10.61,35.56,4,10.46,35.52,2,10.50,35.38,3,10.34,35.50
1,9.92,45.20,5,10.04,45.60,3,9.87,45.39,2,9.90,45.28,4,9.99,45.49
2,9.79,54.99,4,9.61,55.21,4,9.82,55.21,3,9.83,55.11,1,9.47,54.96
3,9.28,1:04.27,4,9.30,1:04.51,5,9.61,1:04.82,2,9.07,1:04.18,1,8.97,1:03.93
3,8.98,1:13.25,4,9.10,1:13.61,5,9.00,1:13.82,2,8.92,1:13.10,1,8.99,1:12.92
3,8.94,1:22.19,4,9.14,1:22.75,5,9.27,1:23.09,2,9.07,1:22.17,1,9.19,1:22.11
2,9.35,1:31.543,4,9.51,1:32.266,5,10.25,1:33.344,3,9.59,1:31.766,1,9.36,1:31.476
