Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME
3,12.71,12.71,5,13.01,13.01,1,12.43,12.43,4,12.84,12.84,2,12.54,12.54
1,9.42,22.13,5,9.63,22.64,2,9.83,22.26,4,9.67,22.51,3,9.88,22.42
1,9.75,31.88,5,9.66,32.30,4,9.83,32.09,2,9.47,31.98,3,9.66,32.08
1,9.46,41.34,5,9.38,41.68,3,9.39,41.48,2,9.44,41.42,4,9.42,41.50
1,9.35,50.69,5,9.44,51.12,3,9.36,50.84,2,9.34,50.76,4,9.47,50.97
1,9.14,59.83,5,9.15,1:00.27,3,9.08,59.92,4,9.29,1:00.05,2,8.95,59.92
1,9.18,1:09.01,5,9.09,1:09.36,2,9.12,1:09.04,4,9.20,1:09.25,3,9.17,1:09.09
3,9.10,1:18.11,5,8.99,1:18.35,1,9.00,1:18.04,4,9.00,1:18.25,2,9.02,1:18.11
0,,PEN,1,9.21,1:27.555,2,9.64,1:27.673,0,,PEN,3,10.06,1:28.168
