Anita NAGAY POSITION,Anita NAGAY LAP TIME,Anita NAGAY ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME
4,8.12,8.12,1,7.21,7.21,3,7.66,7.66,2,7.34,7.34
4,10.30,18.42,1,9.29,16.50,3,9.70,17.36,2,9.31,16.65
4,9.80,28.22,1,8.89,25.39,3,9.14,26.50,2,8.87,25.52
4,10.01,38.23,1,9.12,34.51,3,9.38,35.88,2,9.10,34.62
3,10.48,48.71,4,22.68,57.19,2,9.56,45.44,1,9.19,43.81
