Guillaume BLAIS DUFOUR POSITION,Guillaume BLAIS DUFOUR LAP TIME,Guillaume BLAIS DUFOUR ELAPSED TIME,Ian UPCOTT POSITION,Ian UPCOTT LAP TIME,Ian UPCOTT ELAPSED TIME,Arno JASPERS POSITION,Arno JASPERS LAP TIME,Arno JASPERS ELAPSED TIME,ZHANG Zhiqiang POSITION,ZHANG Zhiqiang LAP TIME,ZHANG Zhiqiang ELAPSED TIME
1,13.899,13.899,4,14.429,14.429,3,14.223,14.223,2,14.019,14.019
2,11.235,25.134,4,10.822,25.250,3,10.976,25.199,1,11.042,25.061
3,10.769,35.903,4,10.738,35.988,2,10.676,35.876,1,10.788,35.849
2,9.995,45.898,4,10.067,46.054,3,10.077,45.952,1,9.955,45.804
3,9.312,55.209,2,9.091,55.145,4,9.373,55.325,1,9.185,54.989
2,9.127,1:04.336,3,9.377,1:04.522,4,9.278,1:04.603,1,9.200,1:04.188
1,8.963,1:13.299,3,9.119,1:13.641,4,9.953,1:14.555,2,9.156,1:13.344
1,9.185,1:22.485,4,26.856,1:40.497,3,10.359,1:24.915,2,9.161,1:22.505
2,9.440,1:31.924,4,13.928,1:54.424,3,11.266,1:36.181,1,9.298,1:31.803
