Alex STANLEY POSITION,Alex STANLEY LAP TIME,Alex STANLEY ELAPSED TIME,Barbara KOBYLAKIEWICZ POSITION,Barbara KOBYLAKIEWICZ LAP TIME,Barbara KOBYLAKIEWICZ ELAPSED TIME,Tina GRASSOW POSITION,Tina GRASSOW LAP TIME,Tina GRASSOW ELAPSED TIME,LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME
3,11.54,11.54,1,11.38,11.38,2,11.50,11.50,5,11.88,11.88,4,11.71,11.71
2,17.59,29.13,1,17.58,28.96,3,17.81,29.31,5,17.87,29.75,4,17.77,29.48
2,14.97,44.10,1,15.03,43.99,3,14.90,44.21,5,14.82,44.57,4,14.87,44.35
2,14.20,58.30,1,14.21,58.20,3,14.20,58.41,5,14.17,58.74,4,14.20,58.55
2,13.94,1:12.24,1,13.90,1:12.10,3,13.92,1:12.33,5,13.88,1:12.62,4,13.90,1:12.45
4,13.60,1:25.84,1,13.59,1:25.69,2,13.41,1:25.74,5,13.40,1:26.02,3,13.31,1:25.76
1,11.08,1:36.92,3,11.31,1:37.00,4,11.30,1:37.04,5,11.26,1:37.28,2,11.17,1:36.93
1,10.21,1:47.13,3,10.31,1:47.31,4,10.29,1:47.33,5,10.21,1:47.49,2,10.27,1:47.20
2,10.28,1:57.41,4,10.32,1:57.63,1,9.91,1:57.24,5,10.27,1:57.76,3,10.32,1:57.52
2,9.71,2:07.12,5,9.74,2:07.37,1,9.80,2:07.04,4,9.59,2:07.35,3,9.70,2:07.22
3,9.90,2:17.02,5,9.85,2:17.22,2,9.88,2:16.92,1,9.35,2:16.70,4,9.84,2:17.06
4,9.95,2:26.97,5,9.99,2:27.21,2,9.83,2:26.75,1,9.46,2:26.16,3,9.87,2:26.93
5,20.57,2:47.54,4,10.31,2:37.52,2,10.17,2:36.92,1,10.20,2:36.36,3,10.07,2:37.00
4,,2:47.525,5,11.04,2:48.556,2,10.34,2:47.258,1,10.42,2:46.778,3,10.32,2:47.317
