Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
3,8.73,8.73,1,8.62,8.62,5,8.86,8.86,2,8.71,8.71,4,8.75,8.75,6,8.96,8.96
4,12.60,21.33,2,12.50,21.12,5,12.57,21.43,3,12.52,21.23,1,12.31,21.06,6,12.62,21.58
3,12.62,33.95,4,12.88,34.00,5,12.65,34.08,1,12.53,33.76,2,12.81,33.87,6,12.68,34.26
4,12.02,45.97,6,12.16,46.16,2,11.66,45.74,3,12.06,45.82,1,11.86,45.73,5,11.79,46.05
5,11.26,57.23,1,10.66,56.82,2,11.14,56.88,4,11.29,57.11,3,11.29,57.02,6,11.26,57.31
5,10.42,1:07.65,1,10.54,1:07.36,3,10.59,1:07.47,2,10.32,1:07.43,4,10.52,1:07.54,6,10.43,1:07.74
4,9.93,1:17.58,3,10.09,1:17.45,2,9.89,1:17.36,1,9.83,1:17.26,5,10.10,1:17.64,6,10.00,1:17.74
4,9.74,1:27.32,3,9.77,1:27.22,2,9.77,1:27.13,1,9.80,1:27.06,5,9.77,1:27.41,6,9.77,1:27.51
4,9.69,1:37.01,3,9.67,1:36.89,2,9.59,1:36.72,1,9.50,1:36.56,6,9.69,1:37.10,5,9.57,1:37.08
4,9.05,1:46.06,3,9.04,1:45.93,2,9.10,1:45.82,1,9.16,1:45.72,6,9.20,1:46.30,5,9.12,1:46.20
4,9.03,1:55.09,3,9.03,1:54.96,2,9.05,1:54.87,1,9.04,1:54.76,5,8.92,1:55.22,6,9.03,1:55.23
4,9.40,2:04.49,2,9.30,2:04.26,1,9.31,2:04.18,6,41.08,2:35.84,3,9.13,2:04.35,5,9.33,2:04.56
5,9.78,2:14.27,2,9.37,2:13.63,1,9.34,2:13.52,6,22.22,2:58.06,3,9.39,2:13.74,4,9.56,2:14.12
5,10.06,2:24.324,3,9.57,2:23.194,1,9.42,2:22.931,6,20.33,3:18.384,2,9.34,2:23.080,4,9.94,2:24.054
