Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME,KIM Jong Mi POSITION,KIM Jong Mi LAP TIME,KIM Jong Mi ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME
1,13.83,13.83,2,13.93,13.93,3,14.06,14.06,4,14.17,14.17
2,10.65,24.48,1,10.34,24.27,3,10.51,24.57,4,10.51,24.68
1,10.03,34.51,2,10.24,34.51,3,10.08,34.65,4,10.03,34.71
1,9.73,44.24,3,9.95,44.46,2,9.69,44.34,4,9.83,44.54
1,9.81,54.05,4,9.78,54.24,2,9.74,54.08,3,9.67,54.21
2,9.89,1:03.94,4,9.95,1:04.19,1,9.78,1:03.86,3,9.82,1:04.03
1,9.81,1:13.75,4,10.04,1:14.23,2,10.03,1:13.89,3,9.96,1:13.99
1,9.95,1:23.70,4,10.34,1:24.57,2,9.92,1:23.81,3,9.89,1:23.88
1,10.06,1:33.754,4,10.91,1:35.479,3,10.16,1:33.967,2,10.00,1:33.878
