Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Jose CAVALLI POSITION,Jose CAVALLI LAP TIME,Jose CAVALLI ELAPSED TIME
3,14.39,14.39,1,14.24,14.24,2,14.29,14.29,4,14.49,14.49
3,9.73,24.12,1,9.69,23.93,2,9.73,24.02,4,9.75,24.24
3,9.55,33.67,1,9.53,33.46,2,9.54,33.56,4,9.56,33.80
3,9.50,43.17,1,9.53,42.99,2,9.51,43.07,4,9.49,43.29
3,9.40,52.57,1,9.42,52.41,2,9.42,52.49,4,9.42,52.71
2,9.29,1:01.86,1,9.32,1:01.73,3,9.39,1:01.88,4,9.32,1:02.03
2,9.27,1:11.13,1,9.31,1:11.04,3,9.51,1:11.39,4,9.46,1:11.49
1,9.13,1:20.26,2,9.35,1:20.39,3,9.52,1:20.91,4,9.51,1:21.00
1,9.49,1:29.742,2,9.41,1:29.798,4,11.56,1:32.461,3,10.63,1:31.621
