LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Jonathan GUILMETTE POSITION,Jonathan GUILMETTE LAP TIME,Jonathan GUILMETTE ELAPSED TIME,Yoshiharu ARINO POSITION,Yoshiharu ARINO LAP TIME,Yoshiharu ARINO ELAPSED TIME
4,9.1785,9.1785,3,9.1602,9.1602,5,9.1941,9.1941,6,9.6019,9.6019,1,8.7042,8.7042,2,8.7114,8.7114
3,12.1149,21.2934,6,12.6738,21.8340,4,12.1936,21.3877,5,12.0251,21.6270,1,12.1510,20.8552,2,12.2800,20.9914
4,11.0651,32.3585,3,10.0284,31.8624,5,11.2213,32.6090,6,10.9854,32.6124,2,10.9514,31.8066,1,10.5968,31.5882
5,10.6630,43.0215,4,10.9385,42.8009,6,10.6220,43.2310,3,10.1738,42.7862,1,10.6511,42.4577,2,10.8852,42.4734
3,10.4003,53.4218,4,10.7541,53.5550,6,10.7859,54.0169,5,10.8039,53.5901,1,10.8331,53.2908,2,10.8386,53.3120
1,9.5677,1:02.9895,6,9.8336,1:03.3886,3,9.1293,1:03.1462,5,9.7869,1:03.3770,4,9.9216,1:03.2124,2,9.7022,1:03.0142
5,9.9136,1:12.9031,6,9.9762,1:13.3648,4,9.6802,1:12.8264,1,9.3580,1:12.7350,2,9.5660,1:12.7784,3,9.7972,1:12.8114
1,9.3267,1:22.2298,6,9.6259,1:22.9907,5,9.8128,1:22.6392,3,9.7716,1:22.5066,4,9.7320,1:22.5104,2,9.6376,1:22.4490
1,10.1938,1:32.4236,5,10.0694,1:33.0601,2,9.9295,1:32.5687,6,10.9054,1:33.4120,4,10.2598,1:32.7702,3,10.1956,1:32.6446
2,9.9598,1:42.3834,6,9.7697,1:42.8298,3,9.9925,1:42.5612,5,9.3194,1:42.7314,1,9.5912,1:42.3614,4,9.9676,1:42.6122
1,9.3934,1:51.7768,5,9.6165,1:52.4463,4,9.6858,1:52.2470,3,9.4953,1:52.2267,2,9.6424,1:52.0038,6,10.4902,1:53.1024
1,9.4744,2:01.2512,4,9.5714,2:02.0177,3,9.6116,2:01.8586,5,9.9653,2:02.1920,2,9.3251,2:01.3289,6,10.6936,2:03.7960
2,9.3862,2:10.6374,4,9.3223,2:11.3400,5,9.8143,2:11.6729,1,8.2960,2:10.4880,3,9.5423,2:10.8712,6,11.1034,2:14.8994
2,9.66,2:20.298,4,10.23,2:21.565,5,10.10,2:21.769,1,9.52,2:20.009,3,10.18,2:21.045,6,12.59,2:27.488
