DUBOIS Steven POSITION,DUBOIS Steven LAP TIME,DUBOIS Steven ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,KIM Gun Woo POSITION,KIM Gun Woo LAP TIME,KIM Gun Woo ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME
3,9.99,9.99,1,9.90,9.90,2,9.92,9.92,4,10.24,10.24,5,10.43,10.43,6,10.65,10.65,7,10.74,10.74
4,13.94,23.93,2,13.58,23.48,3,13.72,23.64,5,13.86,24.10,6,13.87,24.30,1,12.72,23.37,7,13.72,24.46
4,11.83,35.76,3,12.11,35.59,1,11.66,35.30,5,11.84,35.94,6,11.65,35.95,2,12.12,35.49,7,11.67,36.13
5,10.78,46.54,4,10.82,46.41,1,10.89,46.19,6,10.70,46.64,1,10.24,46.19,3,10.82,46.31,7,10.60,46.73
5,10.37,56.91,4,10.38,56.79,2,10.37,56.56,6,10.41,57.05,1,10.20,56.39,3,10.40,56.71,7,10.42,57.15
5,10.11,1:07.02,4,10.11,1:06.90,2,10.08,1:06.64,6,10.10,1:07.15,1,10.10,1:06.49,3,10.07,1:06.78,7,10.13,1:07.28
5,9.75,1:16.77,4,9.74,1:16.64,2,9.81,1:16.45,6,9.77,1:16.92,1,9.84,1:16.33,3,9.78,1:16.56,7,9.75,1:17.03
4,9.22,1:25.99,5,9.37,1:26.01,1,9.20,1:25.65,6,9.28,1:26.20,2,9.44,1:25.77,3,9.32,1:25.88,7,9.29,1:26.32
7,9.53,1:35.52,5,9.24,1:35.25,1,9.13,1:34.78,4,8.88,1:35.08,2,9.12,1:34.89,3,9.10,1:34.98,6,9.01,1:35.33
7,8.97,1:44.49,5,8.98,1:44.23,1,8.97,1:43.75,4,9.04,1:44.12,2,9.03,1:43.92,3,9.02,1:44.00,6,9.00,1:44.33
7,8.76,1:53.25,5,8.78,1:53.01,1,8.74,1:52.49,4,8.67,1:52.79,3,8.85,1:52.77,2,8.69,1:52.69,6,8.78,1:53.11
7,8.75,2:02.00,5,8.89,2:01.90,2,8.72,2:01.21,3,8.63,2:01.42,4,9.12,2:01.89,1,8.49,2:01.18,6,8.88,2:01.99
4,8.65,2:10.65,5,9.11,2:11.01,2,8.76,2:09.97,3,8.70,2:10.12,7,9.80,2:11.69,1,8.74,2:09.92,6,9.10,2:11.09
4,8.88,2:19.53,6,9.60,2:20.614,2,8.81,2:18.78,3,8.80,2:18.92,7,11.26,2:22.952,1,8.81,2:18.73,5,9.44,2:20.53
